db,con,file,con_description,filename_deg,filename_ref,source,lang,votes,mos,noi,col,dis,loud,noi_std,col_std,dis_std,loud_std,mos_std,filepath_deg,filepath_ref
NISQA_TEST_FOR,1.0,1.0,Anchor: Fullband clean,c00001_for_cnv_m_0103_01.wav,for_cnv_m_0103_01.wav,FOR,en,26.0,4.34615384615385,4.3141584769230805,4.18940323076923,4.40505046153846,4.39760449230769,0.713026694945518,0.784719596022817,0.616300185602015,0.6470637770228671,0.79711016514947,NISQA_TEST_FOR/deg/c00001_for_cnv_m_0103_01.wav,NISQA_TEST_FOR/ref/for_cnv_m_0103_01.wav
NISQA_TEST_FOR,1.0,2.0,Anchor: Fullband clean,c00001_for_cnv_m_1035_02.wav,for_cnv_m_1035_02.wav,FOR,en,31.0,4.51612903225806,4.32511030322581,4.2908180451612905,4.14604511612903,4.35902383225806,0.563134681830722,0.6510414140625721,0.8421910189916558,0.670295663655614,0.5698518954918891,NISQA_TEST_FOR/deg/c00001_for_cnv_m_1035_02.wav,NISQA_TEST_FOR/ref/for_cnv_m_1035_02.wav
NISQA_TEST_FOR,1.0,3.0,Anchor: Fullband clean,c00001_for_cnv_f_0104_02.wav,for_cnv_f_0104_02.wav,FOR,en,28.0,4.321428571428569,4.42356434285714,4.25278026428571,3.9688750142857097,4.33360653571429,0.6837927437416689,0.935352161068093,1.19950621461039,0.915959705365233,0.772373514927102,NISQA_TEST_FOR/deg/c00001_for_cnv_f_0104_02.wav,NISQA_TEST_FOR/ref/for_cnv_f_0104_02.wav
NISQA_TEST_FOR,1.0,4.0,Anchor: Fullband clean,c00001_for_cnv_f_0113_03.wav,for_cnv_f_0113_03.wav,FOR,en,32.0,4.53125,4.36513069375,4.132724975,4.31556251875,4.25487901875,0.70179961066826,0.7589607992060671,0.682772766798064,0.707229914883146,0.567073699482846,NISQA_TEST_FOR/deg/c00001_for_cnv_f_0113_03.wav,NISQA_TEST_FOR/ref/for_cnv_f_0113_03.wav
NISQA_TEST_FOR,2.0,5.0,Anchor: P50MNRU 25dB,c00002_for_cnv_m_0068_01.wav,for_cnv_m_0068_01.wav,FOR,en,23.0,3.7391304347826098,3.61044733913043,3.20639243478261,4.0444258173913,3.8812426521739103,1.12597977046694,1.33129007063206,0.9602764428408008,1.08656162062575,0.91539317456032,NISQA_TEST_FOR/deg/c00002_for_cnv_m_0068_01.wav,NISQA_TEST_FOR/ref/for_cnv_m_0068_01.wav
NISQA_TEST_FOR,2.0,6.0,Anchor: P50MNRU 25dB,c00002_for_cnv_m_0055_02.wav,for_cnv_m_0055_02.wav,FOR,en,32.0,3.3125,3.5271655625,3.29847468125,3.17969143125,3.6828968,1.07952360883713,1.12492039776029,1.2802090046095,1.2321935466020602,0.820601667542903,NISQA_TEST_FOR/deg/c00002_for_cnv_m_0055_02.wav,NISQA_TEST_FOR/ref/for_cnv_m_0055_02.wav
NISQA_TEST_FOR,2.0,7.0,Anchor: P50MNRU 25dB,c00002_for_cnv_f_0036_01.wav,for_cnv_f_0036_01.wav,FOR,en,32.0,3.65625,3.2857883,3.47522266875,4.1060044,4.128797675,1.01245944029142,1.02403462512971,0.804884420507741,0.611109564721237,0.745280852019624,NISQA_TEST_FOR/deg/c00002_for_cnv_f_0036_01.wav,NISQA_TEST_FOR/ref/for_cnv_f_0036_01.wav
NISQA_TEST_FOR,2.0,8.0,Anchor: P50MNRU 25dB,c00002_for_cnv_f_0087_02.wav,for_cnv_f_0087_02.wav,FOR,en,23.0,3.69565217391304,3.6704472173912994,3.86964763478261,3.87360988695652,4.28419866086957,0.9609019986773673,1.09547495153953,0.9855342151386668,0.646489737946215,0.973969507115348,NISQA_TEST_FOR/deg/c00002_for_cnv_f_0087_02.wav,NISQA_TEST_FOR/ref/for_cnv_f_0087_02.wav
NISQA_TEST_FOR,3.0,9.0,Anchor: White Noise 12dB,c00003_for_cnv_m_0056_03.wav,for_cnv_m_0056_03.wav,FOR,en,26.0,2.1153846153846203,1.49136203846154,3.64030672307692,3.75871538461538,3.83925266153846,0.38938239067491903,0.91780205396899,1.07620992946992,1.04183981810613,0.7656068482934609,NISQA_TEST_FOR/deg/c00003_for_cnv_m_0056_03.wav,NISQA_TEST_FOR/ref/for_cnv_m_0056_03.wav
NISQA_TEST_FOR,3.0,10.0,Anchor: White Noise 12dB,c00003_for_cnv_m_0067_03.wav,for_cnv_m_0067_03.wav,FOR,en,33.0,2.57575757575758,1.5544673878787898,3.86777415757576,4.14906853333333,3.6287133151515096,0.361041906906328,0.965637830727034,0.708796704289754,1.05686879712817,0.6628679652796171,NISQA_TEST_FOR/deg/c00003_for_cnv_m_0067_03.wav,NISQA_TEST_FOR/ref/for_cnv_m_0067_03.wav
NISQA_TEST_FOR,3.0,11.0,Anchor: White Noise 12dB,c00003_for_cnv_f_0114_03.wav,for_cnv_f_0114_03.wav,FOR,en,32.0,2.21875,1.3223342125,3.71220025625,4.0640295625,3.45483826875,0.222993917915652,1.14263800977728,1.01722496156205,1.26492001169503,0.659147788019965,NISQA_TEST_FOR/deg/c00003_for_cnv_f_0114_03.wav,NISQA_TEST_FOR/ref/for_cnv_f_0114_03.wav
NISQA_TEST_FOR,3.0,12.0,Anchor: White Noise 12dB,c00003_for_cnv_f_0038_01.wav,for_cnv_f_0038_01.wav,FOR,en,23.0,2.08695652173913,1.43979055652174,3.64833167826087,3.99131324347826,3.34465005217391,0.367591430800754,1.0675061080857,0.964925026084273,1.0788508614396402,0.79275374362012,NISQA_TEST_FOR/deg/c00003_for_cnv_f_0038_01.wav,NISQA_TEST_FOR/ref/for_cnv_f_0038_01.wav
NISQA_TEST_FOR,4.0,13.0,Anchor: Level -20dB,c00004_for_cnv_m_1007_01.wav,for_cnv_m_1007_01.wav,FOR,en,31.0,3.09677419354839,4.2731230516129,3.51268403225806,4.2875165419354815,1.83374979354839,0.80507830528062,1.0921190565608,0.699902964019754,0.8775487637180279,0.978258272294095,NISQA_TEST_FOR/deg/c00004_for_cnv_m_1007_01.wav,NISQA_TEST_FOR/ref/for_cnv_m_1007_01.wav
NISQA_TEST_FOR,4.0,14.0,Anchor: Level -20dB,c00004_for_cnv_m_1021_02.wav,for_cnv_m_1021_02.wav,FOR,en,29.0,2.931034482758621,4.252848524137931,3.65693151034483,4.17644160689655,1.74783969655172,0.5964443778143779,1.1553207184623202,0.65816660020929,0.593060609273915,0.9975339050005352,NISQA_TEST_FOR/deg/c00004_for_cnv_m_1021_02.wav,NISQA_TEST_FOR/ref/for_cnv_m_1021_02.wav
NISQA_TEST_FOR,4.0,15.0,Anchor: Level -20dB,c00004_for_cnv_f_0119_01.wav,for_cnv_f_0119_01.wav,FOR,en,32.0,3.28125,4.50636955625,3.8315522125,4.35302869375,1.7196409,0.294718000674279,0.8637732939657029,0.665791168179588,0.538513848292117,0.95830411362654,NISQA_TEST_FOR/deg/c00004_for_cnv_f_0119_01.wav,NISQA_TEST_FOR/ref/for_cnv_f_0119_01.wav
NISQA_TEST_FOR,4.0,16.0,Anchor: Level -20dB,c00004_for_cnv_f_0040_01.wav,for_cnv_f_0040_01.wav,FOR,en,29.0,3.3448275862069,4.33916757241379,3.6321919862069,4.36482144827586,1.90604280689655,0.480535146902447,1.11674775455868,0.3963759914123301,0.8132239743049822,0.85673224976258,NISQA_TEST_FOR/deg/c00004_for_cnv_f_0040_01.wav,NISQA_TEST_FOR/ref/for_cnv_f_0040_01.wav
NISQA_TEST_FOR,5.0,17.0,Anchor: BP 500-2500Hz,c00005_for_cnv_m_1026_02.wav,for_cnv_m_1026_02.wav,FOR,en,32.0,3.0,4.356863475,1.698058225,4.31215995625,3.41472071875,0.6071212073219681,0.693360462028041,0.585250507057506,1.11146953148027,0.762000762001143,NISQA_TEST_FOR/deg/c00005_for_cnv_m_1026_02.wav,NISQA_TEST_FOR/ref/for_cnv_m_1026_02.wav
