metric,model,dataset,point_estimate,ci_lo,ci_hi,n_boot,n_groups
srcc,nisqa,nisqa_train_sim,0.7977876572554359,0.789851217959714,0.8054850612806462,2000,10000
rmse,nisqa,nisqa_train_sim,0.8506437446996344,0.8384660891353836,0.8613039840625766,2000,10000
pcc,nisqa,nisqa_train_sim,0.793324772342477,0.7862998035637389,0.8002894937857449,2000,10000
coverage_fixed,nisqa,nisqa_train_sim,0.6798,0.6704,0.6890025,2000,10000
coverage_adaptive,nisqa,nisqa_train_sim,0.6553,0.6459,0.6645,2000,10000
coverage_delta,nisqa,nisqa_train_sim,-0.024499999999999966,-0.028100000000000014,-0.02090000000000003,2000,10000
srcc,nisqa,nisqa_train_live,0.6494865310152617,0.6090188858905037,0.6859466669902631,2000,1020
rmse,nisqa,nisqa_train_live,0.5281990261241243,0.5050714808083252,0.5515410911724113,2000,1020
pcc,nisqa,nisqa_train_live,0.6627851125118298,0.6280725024028779,0.6955060611116125,2000,1020
coverage_fixed,nisqa,nisqa_train_live,0.9009803921568628,0.8813725490196078,0.9186274509803921,2000,1020
coverage_adaptive,nisqa,nisqa_train_live,0.9068627450980392,0.888235294117647,0.9235294117647059,2000,1020
coverage_delta,nisqa,nisqa_train_live,0.00588235294117645,0.0,0.01176470588235301,2000,1020
srcc,nisqa,nisqa_val_sim,0.8063195130394657,0.7912437313749546,0.820757121450225,2000,2500
rmse,nisqa,nisqa_val_sim,0.8637235191274106,0.8411254371716793,0.8854030896585162,2000,2500
pcc,nisqa,nisqa_val_sim,0.8018319843234932,0.7877659306439326,0.8147756245788039,2000,2500
coverage_fixed,nisqa,nisqa_val_sim,0.6724,0.6548,0.69,2000,2500
coverage_adaptive,nisqa,nisqa_val_sim,0.6476,0.6296,0.6656,2000,2500
coverage_delta,nisqa,nisqa_val_sim,-0.024800000000000044,-0.03199999999999992,-0.01760000000000006,2000,2500
srcc,nisqa,nisqa_val_live,0.6379066218668148,0.5350152615578637,0.7212062437871946,2000,200
rmse,nisqa,nisqa_val_live,0.5251128738340533,0.47874712612982956,0.5714915034272983,2000,200
pcc,nisqa,nisqa_val_live,0.6680678020648616,0.5841071684427129,0.7391642930508721,2000,200
coverage_fixed,nisqa,nisqa_val_live,0.895,0.85,0.935,2000,200
coverage_adaptive,nisqa,nisqa_val_live,0.895,0.85,0.935,2000,200
coverage_delta,nisqa,nisqa_val_live,0.0,-0.020000000000000018,0.020000000000000018,2000,200
srcc,nisqa,nisqa_test_for,0.7249699752185249,0.6241451247292743,0.7881693977679933,2000,60
