model,task,weighting,score,auroc,ci_lo,ci_hi,n_boot
dnsmos,top_quartile,natural,mahalanobis,0.3857705333035673,0.3639795575984839,0.4157112629573202,2000
dnsmos,top_quartile,natural,l2,0.4157285800334447,0.39156244358787823,0.4442852661223324,2000
dnsmos,top_quartile,natural,knn,0.37124958404764813,0.3503626254852473,0.4006830458702009,2000
dnsmos,top_quartile,domain_balanced,mahalanobis,0.39338295677925855,0.35776866308018207,0.4356835009227276,2000
dnsmos,top_quartile,domain_balanced,l2,0.40235885482081113,0.36710660596257294,0.44008544636463254,2000
dnsmos,top_quartile,domain_balanced,knn,0.37478348811547896,0.33912890599611806,0.417362414271514,2000
dnsmos,abs_error_gt_0.75,natural,mahalanobis,0.40509532310142926,0.38417127023430514,0.42795157876426176,2000
dnsmos,abs_error_gt_0.75,natural,l2,0.44132578200992056,0.420078783489821,0.46441137094889723,2000
dnsmos,abs_error_gt_0.75,natural,knn,0.3913088452504043,0.37044809261975004,0.4132747820574202,2000
dnsmos,abs_error_gt_0.75,domain_balanced,mahalanobis,0.4135661950810093,0.38228848011891237,0.4452184280139677,2000
dnsmos,abs_error_gt_0.75,domain_balanced,l2,0.43110790882397476,0.40079425049914635,0.46178819999112947,2000
dnsmos,abs_error_gt_0.75,domain_balanced,knn,0.3992638534304909,0.3677287660646885,0.43044613668283704,2000
dnsmos,standardized_error_top_quartile,natural,mahalanobis,0.47951934862914736,0.4551548402765291,0.5080411442961542,2000
dnsmos,standardized_error_top_quartile,natural,l2,0.5023267005606407,0.4778127379014266,0.530199109794851,2000
dnsmos,standardized_error_top_quartile,natural,knn,0.44850246622888124,0.42320071376599117,0.4755725673885813,2000
dnsmos,standardized_error_top_quartile,domain_balanced,mahalanobis,0.45806399413872534,0.42094433767605793,0.4955571274343778,2000
dnsmos,standardized_error_top_quartile,domain_balanced,l2,0.47284301581203997,0.4382183620764912,0.5084308379747767,2000
dnsmos,standardized_error_top_quartile,domain_balanced,knn,0.43060428634847525,0.39347821926348775,0.470790608079144,2000
dnsmos,outside_subjective_95ci,natural,mahalanobis,0.48792724040105706,0.4661701368708251,0.511183200822819,2000
dnsmos,outside_subjective_95ci,natural,l2,0.5138871346960983,0.4922690467088051,0.5360530548283563,2000
