model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
dnsmos,nisqa_val_sim,mahalanobis_mondrian,coverage,0.9056,0.9064,0.0008000000000000229,-0.022399999999999975,0.028000000000000025,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,mahalanobis_mondrian,mean_width,2.760171413421631,2.7674321968078615,0.007260783386230596,-0.05993440139293669,0.09874822747230501,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,mahalanobis_mondrian,mean_interval_score,3.1716159572601317,3.1827309658050535,0.011115008544921867,-0.014922651252746633,0.08486222239971142,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,predicted_mos_mondrian,coverage,0.9056,0.9104,0.0048000000000000265,-0.023219999999999994,0.024800000000000044,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,predicted_mos_mondrian,mean_width,2.760171413421631,2.7927581722259522,0.03258675880432138,-0.06565175294399264,0.09819610989570636,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,predicted_mos_mondrian,mean_interval_score,3.1716159572601317,3.165608447265625,-0.006007509994506499,-0.02915518486976626,0.05925299112319922,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,mos_extremity_mondrian,coverage,0.9056,0.9128,0.007199999999999984,-0.021600000000000064,0.027200000000000002,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,mos_extremity_mondrian,mean_width,2.760171413421631,2.7791892404556275,0.01901782703399668,-0.06820850662231441,0.11025167738437658,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,mos_extremity_mondrian,mean_interval_score,3.1716159572601317,3.1547108469009397,-0.016905110359191955,-0.03994416703224203,0.05581167125225043,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k10,coverage,0.9056,0.908,0.0024000000000000687,-0.020000000000000018,0.02961999999999996,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k10,mean_width,2.760171413421631,2.7708370613098143,0.010665647888183472,-0.06641534703254683,0.09931357155323009,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k10,mean_interval_score,3.1716159572601317,3.1747216495513917,0.0031056922912600093,-0.037853230099678226,0.06528055472373945,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,coverage,0.9056,0.9096,0.0040000000000000036,-0.031200000000000006,0.02399999999999991,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,mean_width,2.760171413421631,2.7253326013565062,-0.034838812065124625,-0.1454467678642275,0.0710588800811766,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,mean_interval_score,3.1716159572601317,3.137542861747742,-0.034073095512389795,-0.06568554905891431,0.05977592007637035,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k50,coverage,0.9056,0.9152,0.009600000000000053,-0.01921999999999999,0.030399999999999983,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k50,mean_width,2.760171413421631,2.783278889465332,0.023107476043701336,-0.10248856957912446,0.09305108351707454,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_mondrian_k50,mean_interval_score,3.1716159572601317,3.174658678817749,0.0030427215576174227,-0.03550604606628416,0.058891784496307,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k10,coverage,0.9056,0.916,0.010400000000000076,-0.01921999999999999,0.045599999999999974,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k10,mean_width,2.760171413421631,2.8459174459266166,0.08574603250498569,-0.05290905947203663,0.21088780663169587,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k10,mean_interval_score,3.1716159572601317,3.3037755777615194,0.13215962050138774,0.04094639916139371,0.20896620861837922,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k25,coverage,0.9056,0.8928,-0.012799999999999923,-0.036800000000000055,0.019199999999999995,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k25,mean_width,2.760171413421631,2.686545111168292,-0.07362630225333877,-0.17260784742719282,0.028007701446744103,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k25,mean_interval_score,3.1716159572601317,3.1932514930828946,0.021635535822762897,-0.03816296645757087,0.07625272349036645,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k50,coverage,0.9056,0.9096,0.0040000000000000036,-0.018400000000000083,0.030399999999999983,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k50,mean_width,2.760171413421631,2.7433633502692176,-0.016808063152413233,-0.11257964298723906,0.0663555649602557,2000,fixed_difficulty_estimator
dnsmos,nisqa_val_sim,local_residual_normalized_k50,mean_interval_score,3.1716159572601317,3.1831435681073947,0.011527610847263059,-0.03814542785476773,0.049637961819553,2000,fixed_difficulty_estimator
dnsmos,nisqa_train_live,mahalanobis_mondrian,coverage,0.9901960784313726,0.9892156862745098,-0.0009803921568627416,-0.00984276211163258,0.005853801448170736,2000,fixed_difficulty_estimator
dnsmos,nisqa_train_live,mahalanobis_mondrian,mean_width,2.760171413421631,2.73360233260136,-0.026569080820270763,-0.14463092521226104,0.1386379971716758,2000,fixed_difficulty_estimator
dnsmos,nisqa_train_live,mahalanobis_mondrian,mean_interval_score,2.7847778540031585,2.7582186675539204,-0.026559186449238048,-0.1258098854690666,0.1293068988404705,2000,fixed_difficulty_estimator
dnsmos,nisqa_train_live,predicted_mos_mondrian,coverage,0.9901960784313726,0.9892156862745098,-0.0009803921568627416,-0.014749625461640289,0.0029585798816567114,2000,fixed_difficulty_estimator
dnsmos,nisqa_train_live,predicted_mos_mondrian,mean_width,2.760171413421631,2.7292242583106545,-0.030947155110976343,-0.23250217052821778,0.1483440017597801,2000,fixed_difficulty_estimator
