model,dataset,score,n_id,n_shifted,auroc,fpr_at_95_tpr
dnsmos,nisqa_train_live,mahalanobis,1250,1020,0.7435835294117648,0.7168
dnsmos,nisqa_train_live,l2,1250,1020,0.6425372549019608,0.888
dnsmos,nisqa_train_live,knn,1250,1020,0.7976509803921569,0.6856
dnsmos,nisqa_val_live,mahalanobis,1250,200,0.732388,0.6984
dnsmos,nisqa_val_live,l2,1250,200,0.646984,0.8624
dnsmos,nisqa_val_live,knn,1250,200,0.78888,0.6792
dnsmos,nisqa_test_for,mahalanobis,1250,240,0.6317466666666667,0.904
dnsmos,nisqa_test_for,l2,1250,240,0.49460000000000004,0.9248
dnsmos,nisqa_test_for,knn,1250,240,0.66044,0.856
dnsmos,nisqa_test_livetalk,mahalanobis,1250,232,0.7312689655172414,0.84
dnsmos,nisqa_test_livetalk,l2,1250,232,0.6188620689655173,0.8744
dnsmos,nisqa_test_livetalk,knn,1250,232,0.7523241379310345,0.796
dnsmos,nisqa_test_p501,mahalanobis,1250,240,0.50197,0.9448
dnsmos,nisqa_test_p501,l2,1250,240,0.52082,0.9296
dnsmos,nisqa_test_p501,knn,1250,240,0.4842466666666667,0.9352
nisqa,nisqa_train_live,mahalanobis,1250,1020,0.8753062745098039,0.3872
nisqa,nisqa_train_live,l2,1250,1020,0.7112149019607843,0.7832
nisqa,nisqa_train_live,knn,1250,1020,0.9166847058823528,0.3728
nisqa,nisqa_val_live,mahalanobis,1250,200,0.8746160000000001,0.4048
nisqa,nisqa_val_live,l2,1250,200,0.696156,0.756
nisqa,nisqa_val_live,knn,1250,200,0.9284879999999999,0.324
nisqa,nisqa_test_for,mahalanobis,1250,240,0.6902566666666667,0.8512
nisqa,nisqa_test_for,l2,1250,240,0.6837399999999999,0.8184
nisqa,nisqa_test_for,knn,1250,240,0.6425233333333334,0.9448
nisqa,nisqa_test_livetalk,mahalanobis,1250,232,0.854748275862069,0.4576
nisqa,nisqa_test_livetalk,l2,1250,232,0.7514482758620689,0.776
nisqa,nisqa_test_livetalk,knn,1250,232,0.8754241379310344,0.556
nisqa,nisqa_test_p501,mahalanobis,1250,240,0.7200733333333333,0.7232
nisqa,nisqa_test_p501,l2,1250,240,0.6197400000000001,0.8616
nisqa,nisqa_test_p501,knn,1250,240,0.6600400000000001,0.9088
utmos,nisqa_train_live,mahalanobis,1250,1020,0.6381984313725491,0.7712
utmos,nisqa_train_live,l2,1250,1020,0.6718619607843136,0.7792
utmos,nisqa_train_live,knn,1250,1020,0.6409686274509804,0.8656
utmos,nisqa_val_live,mahalanobis,1250,200,0.629856,0.7688
utmos,nisqa_val_live,l2,1250,200,0.6708000000000001,0.7384
utmos,nisqa_val_live,knn,1250,200,0.63904,0.8752
utmos,nisqa_test_for,mahalanobis,1250,240,0.3851266666666667,0.9464
utmos,nisqa_test_for,l2,1250,240,0.4764966666666667,0.9448
utmos,nisqa_test_for,knn,1250,240,0.41895333333333334,0.9168
utmos,nisqa_test_livetalk,mahalanobis,1250,232,0.6177379310344827,0.7584
utmos,nisqa_test_livetalk,l2,1250,232,0.5195620689655172,0.9288
utmos,nisqa_test_livetalk,knn,1250,232,0.6179241379310345,0.8496
utmos,nisqa_test_p501,mahalanobis,1250,240,0.5351233333333334,0.812
utmos,nisqa_test_p501,l2,1250,240,0.5035466666666667,0.9392
utmos,nisqa_test_p501,knn,1250,240,0.5299166666666666,0.884
