model,task,dataset,score,n,positive_rate,auroc_prespecified_direction,auroc_direction_free_diagnostic,preferred_direction
dnsmos,within_domain_top_quartile,nisqa_val_sim,mahalanobis,1250,0.2504,0.4404615368878311,0.5595384631121689,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_sim,l2,1250,0.2504,0.4526921280273867,0.5473078719726133,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_sim,knn,1250,0.2504,0.43847027253725945,0.5615297274627405,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_sim,mos_extremity,1250,0.2504,0.4774499541395454,0.5225500458604546,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_train_live,mahalanobis,1020,0.25,0.5494912213251313,0.5494912213251313,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_train_live,l2,1020,0.25,0.5703037293348713,0.5703037293348713,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_train_live,knn,1020,0.25,0.5414020248622324,0.5414020248622324,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_train_live,mos_extremity,1020,0.25,0.5686684608483916,0.5686684608483916,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_val_live,mahalanobis,200,0.25,0.48733333333333334,0.5126666666666666,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_live,l2,200,0.25,0.46119999999999994,0.5388000000000001,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_live,knn,200,0.25,0.48066666666666663,0.5193333333333334,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_val_live,mos_extremity,200,0.25,0.5145333333333333,0.5145333333333333,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_test_for,mahalanobis,240,0.25,0.36,0.64,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_for,l2,240,0.25,0.3238888888888889,0.6761111111111111,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_for,knn,240,0.25,0.40990740740740744,0.5900925925925926,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_for,mos_extremity,240,0.25,0.34351851851851856,0.6564814814814814,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_livetalk,mahalanobis,232,0.25,0.5129805786761792,0.5129805786761792,higher_score_higher_error
dnsmos,within_domain_top_quartile,nisqa_test_livetalk,l2,232,0.25,0.46551724137931033,0.5344827586206897,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_livetalk,knn,232,0.25,0.4247919143876338,0.5752080856123662,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_livetalk,mos_extremity,232,0.25,0.439556084026952,0.560443915973048,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_p501,mahalanobis,240,0.25,0.4274074074074074,0.5725925925925925,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_p501,l2,240,0.25,0.339537037037037,0.660462962962963,higher_score_lower_error
dnsmos,within_domain_top_quartile,nisqa_test_p501,knn,240,0.25,0.44305555555555554,0.5569444444444445,higher_score_lower_error
