model,dataset,score,task,n,auroc,ci_low,ci_high,n_boot
dnsmos,nisqa_val_sim,mahalanobis,within_domain_top_error_quartile,1250,0.4404615368878311,0.4091036568991368,0.4787642674783156,2000
dnsmos,nisqa_train_live,mahalanobis,within_domain_top_error_quartile,1020,0.5494912213251313,0.5034892660247077,0.5902951733009187,2000
dnsmos,nisqa_val_live,mahalanobis,within_domain_top_error_quartile,200,0.48733333333333334,0.3703716216216217,0.5666744966442953,2000
dnsmos,nisqa_test_for,mahalanobis,within_domain_top_error_quartile,240,0.36,0.26787037037037037,0.4553032407407406,2000
dnsmos,nisqa_test_livetalk,mahalanobis,within_domain_top_error_quartile,232,0.5129805786761792,0.3886618113357115,0.6339674990091161,2000
dnsmos,nisqa_test_p501,mahalanobis,within_domain_top_error_quartile,240,0.4274074074074074,0.3231006080549365,0.5337199074074073,2000
nisqa,nisqa_val_sim,mahalanobis,within_domain_top_error_quartile,1250,0.3845902052979907,0.3487808093799336,0.4182860787090005,2000
nisqa,nisqa_train_live,mahalanobis,within_domain_top_error_quartile,1020,0.5397154940407536,0.49985906596335905,0.5815413315110559,2000
nisqa,nisqa_val_live,mahalanobis,within_domain_top_error_quartile,200,0.4821333333333333,0.39255534675615217,0.5843991604406736,2000
nisqa,nisqa_test_for,mahalanobis,within_domain_top_error_quartile,240,0.45083333333333336,0.31656337640300797,0.6233262244439075,2000
nisqa,nisqa_test_livetalk,mahalanobis,within_domain_top_error_quartile,232,0.5719381688466113,0.4333754458977408,0.6841334720570746,2000
nisqa,nisqa_test_p501,mahalanobis,within_domain_top_error_quartile,240,0.5425925925925926,0.43625694444444446,0.6463912037037037,2000
utmos,nisqa_val_sim,mahalanobis,within_domain_top_error_quartile,1250,0.47996631217160335,0.44247204130462586,0.5136275449142631,2000
utmos,nisqa_train_live,mahalanobis,within_domain_top_error_quartile,1020,0.4627040881712162,0.42659717828753846,0.5037346779515799,2000
utmos,nisqa_val_live,mahalanobis,within_domain_top_error_quartile,200,0.4981333333333333,0.4006127032195439,0.5850905820941351,2000
utmos,nisqa_test_for,mahalanobis,within_domain_top_error_quartile,240,0.5094444444444444,0.40906018518518517,0.6073184419021548,2000
utmos,nisqa_test_livetalk,mahalanobis,within_domain_top_error_quartile,232,0.42281014665081257,0.3490834324217202,0.5474686143295632,2000
utmos,nisqa_test_p501,mahalanobis,within_domain_top_error_quartile,240,0.4750925925925926,0.36239124461947064,0.5950743895399566,2000
