model,score,method,n_bins,dataset,n,coverage,mean_width,mean_interval_score,coverage_error,min_cal_bin_n,max_cal_bin_n
dnsmos,mahalanobis,fixed,1,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736,0.0015999999999999348,1250,1250
dnsmos,mahalanobis,fixed,1,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895,0.09019607843137256,1250,1250
dnsmos,mahalanobis,fixed,1,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785,0.09999999999999998,1250,1250
dnsmos,mahalanobis,fixed,1,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913,0.0,1250,1250
dnsmos,mahalanobis,fixed,1,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106,0.043965517241379315,1250,1250
dnsmos,mahalanobis,fixed,1,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001,0.04166666666666674,1250,1250
dnsmos,mahalanobis,adaptive,2,nisqa_val_sim,1250,0.9024,2.7339748596191407,3.1493769763946533,0.0023999999999999577,625,625
dnsmos,mahalanobis,adaptive,2,nisqa_train_live,1020,0.9882352941176471,2.6585309449364156,2.6951843677782543,0.08823529411764708,625,625
dnsmos,mahalanobis,adaptive,2,nisqa_val_live,200,1.0,2.654036316871643,2.654036316871643,0.09999999999999998,625,625
dnsmos,mahalanobis,adaptive,2,nisqa_test_for,240,0.8833333333333333,2.6832725008328757,3.186754743258158,0.01666666666666672,625,625
dnsmos,mahalanobis,adaptive,2,nisqa_test_livetalk,232,0.9396551724137931,2.665800061719171,3.0000813562294533,0.03965517241379313,625,625
dnsmos,mahalanobis,adaptive,2,nisqa_test_p501,240,0.8583333333333333,2.7343909819920857,3.2724547465642293,0.04166666666666674,625,625
dnsmos,mahalanobis,adaptive,3,nisqa_val_sim,1250,0.9096,2.743311876106262,3.141999820518494,0.009599999999999942,416,417
dnsmos,mahalanobis,adaptive,3,nisqa_train_live,1020,0.9862745098039216,2.641638156713224,2.6818300221480573,0.0862745098039216,416,417
dnsmos,mahalanobis,adaptive,3,nisqa_val_live,200,0.995,2.647327357530594,2.647599858045578,0.09499999999999997,416,417
dnsmos,mahalanobis,adaptive,3,nisqa_test_for,240,0.8875,2.6832968840996423,3.1711416294177375,0.012500000000000067,416,417
dnsmos,mahalanobis,adaptive,3,nisqa_test_livetalk,232,0.9439655172413793,2.6407618347940773,2.983470465602546,0.043965517241379315,416,417
dnsmos,mahalanobis,adaptive,3,nisqa_test_p501,240,0.8708333333333333,2.732278749346733,3.2589237838983536,0.029166666666666674,416,417
dnsmos,mahalanobis,adaptive,5,nisqa_val_sim,1250,0.9008,2.730152508163452,3.1447600025177,0.0008000000000000229,250,250
dnsmos,mahalanobis,adaptive,5,nisqa_train_live,1020,0.9862745098039216,2.627627398219763,2.6671811339901943,0.0862745098039216,250,250
dnsmos,mahalanobis,adaptive,5,nisqa_val_live,200,0.995,2.627308430671692,2.628456094264984,0.09499999999999997,250,250
dnsmos,mahalanobis,adaptive,5,nisqa_test_for,240,0.8791666666666667,2.6688890526692073,3.1765133013327915,0.02083333333333337,250,250
dnsmos,mahalanobis,adaptive,5,nisqa_test_livetalk,232,0.9353448275862069,2.6307856039754274,2.9814235023383437,0.03534482758620683,250,250
dnsmos,mahalanobis,adaptive,5,nisqa_test_p501,240,0.8708333333333333,2.7245945701996486,3.2782903581857683,0.029166666666666674,250,250
dnsmos,mahalanobis,adaptive,10,nisqa_val_sim,1250,0.9152,2.785834559631348,3.155939818572998,0.015199999999999991,125,125
dnsmos,mahalanobis,adaptive,10,nisqa_train_live,1020,0.9882352941176471,2.6836804065049864,2.7211122028967916,0.08823529411764708,125,125
dnsmos,mahalanobis,adaptive,10,nisqa_val_live,200,1.0,2.693258111476898,2.693258111476898,0.09999999999999998,125,125
dnsmos,mahalanobis,adaptive,10,nisqa_test_for,240,0.8916666666666667,2.7313083400328955,3.1557862053314847,0.008333333333333304,125,125
dnsmos,mahalanobis,adaptive,10,nisqa_test_livetalk,232,0.9439655172413793,2.6904778161953233,3.0138319556055397,0.043965517241379315,125,125
dnsmos,mahalanobis,adaptive,10,nisqa_test_p501,240,0.8666666666666667,2.7668788025776547,3.255007007718086,0.033333333333333326,125,125
dnsmos,l2,fixed,1,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736,0.0015999999999999348,1250,1250
dnsmos,l2,fixed,1,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895,0.09019607843137256,1250,1250
dnsmos,l2,fixed,1,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785,0.09999999999999998,1250,1250
dnsmos,l2,fixed,1,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913,0.0,1250,1250
dnsmos,l2,fixed,1,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106,0.043965517241379315,1250,1250
dnsmos,l2,fixed,1,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001,0.04166666666666674,1250,1250
dnsmos,l2,adaptive,2,nisqa_val_sim,1250,0.9096,2.7734505210876463,3.1436704479217528,0.009599999999999942,625,625
dnsmos,l2,adaptive,2,nisqa_train_live,1020,0.9901960784313726,2.735684042117175,2.765174590138828,0.09019607843137256,625,625
dnsmos,l2,adaptive,2,nisqa_val_live,200,1.0,2.7317225766181945,2.7317225766181945,0.09999999999999998,625,625
dnsmos,l2,adaptive,2,nisqa_test_for,240,0.9041666666666667,2.776727110147476,3.165581554174423,0.004166666666666652,625,625
dnsmos,l2,adaptive,2,nisqa_test_livetalk,232,0.9482758620689655,2.7401630200188736,3.006107239887632,0.0482758620689655,625,625
dnsmos,l2,adaptive,2,nisqa_test_p501,240,0.8833333333333333,2.7597289949655535,3.20481545428435,0.01666666666666672,625,625
dnsmos,l2,adaptive,3,nisqa_val_sim,1250,0.9136,2.786858216094971,3.145964237976074,0.013599999999999945,416,417
dnsmos,l2,adaptive,3,nisqa_train_live,1020,0.9901960784313726,2.7363707247902367,2.7640018556632246,0.09019607843137256,416,417
dnsmos,l2,adaptive,3,nisqa_val_live,200,1.0,2.723405158519745,2.723405158519745,0.09999999999999998,416,417
dnsmos,l2,adaptive,3,nisqa_test_for,240,0.9208333333333333,2.7802470266819,3.139038646221161,0.02083333333333326,416,417
dnsmos,l2,adaptive,3,nisqa_test_livetalk,232,0.9482758620689655,2.7333921707909683,3.0033863412922828,0.0482758620689655,416,417
dnsmos,l2,adaptive,3,nisqa_test_p501,240,0.8666666666666667,2.7716174483299256,3.202664093176524,0.033333333333333326,416,417
dnsmos,l2,adaptive,5,nisqa_val_sim,1250,0.908,2.7719776889801024,3.142981967163086,0.008000000000000007,250,250
dnsmos,l2,adaptive,5,nisqa_train_live,1020,0.9872549019607844,2.705122247396731,2.7393449601005107,0.08725490196078434,250,250
dnsmos,l2,adaptive,5,nisqa_val_live,200,0.995,2.699572117328644,2.700566370487213,0.09499999999999997,250,250
dnsmos,l2,adaptive,5,nisqa_test_for,240,0.9208333333333333,2.776376755038897,3.1378866444031397,0.02083333333333326,250,250
dnsmos,l2,adaptive,5,nisqa_test_livetalk,232,0.9439655172413793,2.7118446960531433,2.99911600248567,0.043965517241379315,250,250
dnsmos,l2,adaptive,5,nisqa_test_p501,240,0.8791666666666667,2.765038991967837,3.186216359337171,0.02083333333333337,250,250
dnsmos,l2,adaptive,10,nisqa_val_sim,1250,0.9096,2.776031605529785,3.144652638244629,0.009599999999999942,125,125
dnsmos,l2,adaptive,10,nisqa_train_live,1020,0.9882352941176471,2.679529818600299,2.7208277195107704,0.08823529411764708,125,125
dnsmos,l2,adaptive,10,nisqa_val_live,200,0.995,2.6754838252067565,2.692642011642456,0.09499999999999997,125,125
dnsmos,l2,adaptive,10,nisqa_test_for,240,0.9166666666666666,2.8163354605436326,3.176897417505582,0.016666666666666607,125,125
dnsmos,l2,adaptive,10,nisqa_test_livetalk,232,0.9396551724137931,2.735246492870923,3.0377285963502425,0.03965517241379313,125,125
dnsmos,l2,adaptive,10,nisqa_test_p501,240,0.8791666666666667,2.813345643877983,3.1791078875462215,0.02083333333333337,125,125
dnsmos,knn,fixed,1,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736,0.0015999999999999348,1250,1250
dnsmos,knn,fixed,1,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895,0.09019607843137256,1250,1250
dnsmos,knn,fixed,1,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785,0.09999999999999998,1250,1250
dnsmos,knn,fixed,1,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913,0.0,1250,1250
dnsmos,knn,fixed,1,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106,0.043965517241379315,1250,1250
dnsmos,knn,fixed,1,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001,0.04166666666666674,1250,1250
dnsmos,knn,adaptive,2,nisqa_val_sim,1250,0.9096,2.7403020835876464,3.138450465774536,0.009599999999999942,625,625
dnsmos,knn,adaptive,2,nisqa_train_live,1020,0.9892156862745098,2.6787622942644007,2.713416483822991,0.08921568627450982,625,625
dnsmos,knn,adaptive,2,nisqa_val_live,200,1.0,2.681271255016327,2.681271255016327,0.09999999999999998,625,625
dnsmos,knn,adaptive,2,nisqa_test_for,240,0.8916666666666667,2.7071211536725364,3.194766193628311,0.008333333333333304,625,625
dnsmos,knn,adaptive,2,nisqa_test_livetalk,232,0.9439655172413793,2.6906307010815063,2.9985075181928176,0.043965517241379315,625,625
dnsmos,knn,adaptive,2,nisqa_test_p501,240,0.8583333333333333,2.7491272389888763,3.2647963066895804,0.04166666666666674,625,625
dnsmos,knn,adaptive,3,nisqa_val_sim,1250,0.904,2.7237652534484864,3.140641539001465,0.0040000000000000036,416,417
dnsmos,knn,adaptive,3,nisqa_train_live,1020,0.9872549019607844,2.612506716859107,2.6546100565031465,0.08725490196078434,416,417
dnsmos,knn,adaptive,3,nisqa_val_live,200,0.995,2.6093116855621337,2.610459349155426,0.09499999999999997,416,417
dnsmos,knn,adaptive,3,nisqa_test_for,240,0.8791666666666667,2.6565415779749553,3.1825387994448344,0.02083333333333337,416,417
dnsmos,knn,adaptive,3,nisqa_test_livetalk,232,0.9396551724137931,2.6249712006799104,2.968794047832489,0.03965517241379313,416,417
dnsmos,knn,adaptive,3,nisqa_test_p501,240,0.8625,2.724429718653361,3.2663272937138874,0.03749999999999998,416,417
dnsmos,knn,adaptive,5,nisqa_val_sim,1250,0.9072,2.7201322315216063,3.1477351768493653,0.007199999999999984,250,250
dnsmos,knn,adaptive,5,nisqa_train_live,1020,0.9872549019607844,2.6288448277641745,2.6705048327352485,0.08725490196078434,250,250
dnsmos,knn,adaptive,5,nisqa_val_live,200,1.0,2.6327654409408567,2.6327654409408567,0.09999999999999998,250,250
dnsmos,knn,adaptive,5,nisqa_test_for,240,0.875,2.6665815989176433,3.21243103146553,0.025000000000000022,250,250
dnsmos,knn,adaptive,5,nisqa_test_livetalk,232,0.9396551724137931,2.6421929638961266,2.985321509427038,0.03965517241379313,250,250
dnsmos,knn,adaptive,5,nisqa_test_p501,240,0.8666666666666667,2.7254631797472637,3.273760743935903,0.033333333333333326,250,250
dnsmos,knn,adaptive,10,nisqa_val_sim,1250,0.9104,2.778753516769409,3.155619184112549,0.010399999999999965,125,125
dnsmos,knn,adaptive,10,nisqa_train_live,1020,0.9833333333333333,2.696781676423316,2.73605718238681,0.08333333333333326,125,125
dnsmos,knn,adaptive,10,nisqa_val_live,200,1.0,2.704075646400452,2.704075646400452,0.09999999999999998,125,125
dnsmos,knn,adaptive,10,nisqa_test_for,240,0.8916666666666667,2.7258815626303354,3.223235046863556,0.008333333333333304,125,125
dnsmos,knn,adaptive,10,nisqa_test_livetalk,232,0.9439655172413793,2.6996763965179182,3.027996836037471,0.043965517241379315,125,125
dnsmos,knn,adaptive,10,nisqa_test_p501,240,0.8875,2.792665660381317,3.265987733999888,0.012500000000000067,125,125
nisqa,mahalanobis,fixed,1,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307,0.0008000000000000229,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043,0.09313725490196079,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443,0.09499999999999997,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336,0.029166666666666674,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339,0.03534482758620683,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892,0.0708333333333333,1250,1250
nisqa,mahalanobis,adaptive,2,nisqa_val_sim,1250,0.8992,2.877451901817322,3.48303693523407,0.0008000000000000229,625,625
nisqa,mahalanobis,adaptive,2,nisqa_train_live,1020,0.9872549019607844,2.689542219218086,2.7251227748160267,0.08725490196078434,625,625
nisqa,mahalanobis,adaptive,2,nisqa_val_live,200,0.99,2.6893562495708467,2.71718652844429,0.08999999999999997,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_for,240,0.9291666666666667,2.7699740916490554,3.417653927206993,0.029166666666666674,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_livetalk,232,0.9267241379310345,2.6945890506793715,3.09428461358465,0.026724137931034453,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_p501,240,0.9666666666666667,2.7636511236429215,2.9084406207005182,0.06666666666666665,625,625
nisqa,mahalanobis,adaptive,3,nisqa_val_sim,1250,0.8976,2.8649200927734375,3.4737745029449463,0.0024000000000000687,416,417
nisqa,mahalanobis,adaptive,3,nisqa_train_live,1020,0.9754901960784313,2.407322178167455,2.5088039804907405,0.07549019607843133,416,417
nisqa,mahalanobis,adaptive,3,nisqa_val_live,200,0.98,2.4036298203468323,2.4827695059776307,0.07999999999999996,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_for,240,0.925,2.6224048852920534,3.2943799515565235,0.025000000000000022,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_livetalk,232,0.8922413793103449,2.4519547696771293,3.0124189195961786,0.00775862068965516,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_p501,240,0.9375,2.61925155321757,2.8317173808813094,0.03749999999999998,416,417
nisqa,mahalanobis,adaptive,5,nisqa_val_sim,1250,0.8944,2.834394107437134,3.4755673614501954,0.005600000000000049,250,250
nisqa,mahalanobis,adaptive,5,nisqa_train_live,1020,0.9431372549019608,2.1550117277631573,2.402344335761725,0.04313725490196074,250,250
nisqa,mahalanobis,adaptive,5,nisqa_val_live,200,0.98,2.144266757965088,2.2673023080825807,0.07999999999999996,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_for,240,0.9083333333333333,2.5388805508613586,3.2665205538272857,0.008333333333333304,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_livetalk,232,0.8405172413793104,2.205723258955725,3.1193790065831153,0.059482758620689635,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_p501,240,0.9041666666666667,2.5026010870933533,2.901845927039782,0.004166666666666652,250,250
nisqa,mahalanobis,adaptive,10,nisqa_val_sim,1250,0.9,2.8753137460708618,3.47392142162323,0.0,125,125
nisqa,mahalanobis,adaptive,10,nisqa_train_live,1020,0.9401960784313725,2.1120459963293636,2.4027988793803194,0.04019607843137252,125,125
nisqa,mahalanobis,adaptive,10,nisqa_val_live,200,0.96,2.111833937168121,2.226599843502045,0.05999999999999994,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_for,240,0.9083333333333333,2.552249106764793,3.309081408381462,0.008333333333333304,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_livetalk,232,0.8232758620689655,2.178235781603846,3.2288270551582863,0.0767241379310345,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_p501,240,0.9083333333333333,2.5300494939088822,2.8948626776536304,0.008333333333333304,125,125
nisqa,l2,fixed,1,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307,0.0008000000000000229,1250,1250
nisqa,l2,fixed,1,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043,0.09313725490196079,1250,1250
