model,weighting,score,direction,coverage,n_retained,rmse
dnsmos,natural,mahalanobis,retain_low_score,1.0,3182,0.7482585001368638
dnsmos,natural,mahalanobis,retain_low_score,0.95,3023,0.7569925907088728
dnsmos,natural,mahalanobis,retain_low_score,0.9,2864,0.7657098107137963
dnsmos,natural,mahalanobis,retain_low_score,0.8,2546,0.7741774578788531
dnsmos,natural,mahalanobis,retain_low_score,0.7,2227,0.7845949589899215
dnsmos,natural,mahalanobis,retain_low_score,0.6,1909,0.7999974931303895
dnsmos,natural,mahalanobis,retain_low_score,0.5,1591,0.8132103962400704
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,1.0,3182,0.7482585001368638
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.95,3023,0.739220034650654
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.9,2864,0.7294103892650395
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.8,2546,0.7180898519367211
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.7035998539242594
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.6888582971480597
dnsmos,natural,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.6771044361848514
dnsmos,natural,l2,retain_low_score,1.0,3182,0.7482585001368638
dnsmos,natural,l2,retain_low_score,0.95,3023,0.7569907899579852
dnsmos,natural,l2,retain_low_score,0.9,2864,0.7647473696372447
dnsmos,natural,l2,retain_low_score,0.8,2546,0.7768499154017171
dnsmos,natural,l2,retain_low_score,0.7,2227,0.7835963517244067
dnsmos,natural,l2,retain_low_score,0.6,1909,0.7952797877961391
dnsmos,natural,l2,retain_low_score,0.5,1591,0.8008275496336216
dnsmos,natural,l2,retain_high_score_diagnostic,1.0,3182,0.7482585001368638
dnsmos,natural,l2,retain_high_score_diagnostic,0.95,3023,0.7430740327614447
dnsmos,natural,l2,retain_high_score_diagnostic,0.9,2864,0.7377110013838828
dnsmos,natural,l2,retain_high_score_diagnostic,0.8,2546,0.7302031452415478
dnsmos,natural,l2,retain_high_score_diagnostic,0.7,2227,0.7206351290901339
dnsmos,natural,l2,retain_high_score_diagnostic,0.6,1909,0.7100920815147883
dnsmos,natural,l2,retain_high_score_diagnostic,0.5,1591,0.6917057190756393
dnsmos,natural,knn,retain_low_score,1.0,3182,0.7482585001368637
dnsmos,natural,knn,retain_low_score,0.95,3023,0.7575427020884712
dnsmos,natural,knn,retain_low_score,0.9,2864,0.7653234773823079
dnsmos,natural,knn,retain_low_score,0.8,2546,0.7791251499439724
dnsmos,natural,knn,retain_low_score,0.7,2227,0.7908422596131841
