model,dataset,method,difficulty_neighbors,difficulty_train_n,conformal_calibration_n,evaluation_n,coverage,mean_width,mean_interval_score
dnsmos,nisqa_val_sim,local_residual_mondrian_k10,10.0,625,625,1250,0.908,2.7708370613098143,3.1747216495513917
dnsmos,nisqa_val_sim,local_residual_normalized_k10,10.0,625,625,1250,0.916,2.8459174459266166,3.3037755777615194
dnsmos,nisqa_val_sim,fixed,,625,625,1250,0.9056,2.760171413421631,3.1716159572601317
dnsmos,nisqa_val_sim,mahalanobis_mondrian,,625,625,1250,0.9064,2.7674321968078615,3.1827309658050535
dnsmos,nisqa_val_sim,predicted_mos_mondrian,,625,625,1250,0.9104,2.7927581722259522,3.165608447265625
dnsmos,nisqa_val_sim,mos_extremity_mondrian,,625,625,1250,0.9128,2.7791892404556275,3.1547108469009397
dnsmos,nisqa_train_live,local_residual_mondrian_k10,10.0,625,625,1020,0.9901960784313726,2.7484815410539216,2.774400756405849
dnsmos,nisqa_train_live,local_residual_normalized_k10,10.0,625,625,1020,0.9764705882352941,2.554776386465904,2.6253258631410046
dnsmos,nisqa_train_live,fixed,,625,625,1020,0.9901960784313726,2.760171413421631,2.7847778540031585
dnsmos,nisqa_train_live,mahalanobis_mondrian,,625,625,1020,0.9892156862745098,2.73360233260136,2.7582186675539204
dnsmos,nisqa_train_live,predicted_mos_mondrian,,625,625,1020,0.9892156862745098,2.7292242583106545,2.7626566695232015
dnsmos,nisqa_train_live,mos_extremity_mondrian,,625,625,1020,0.9882352941176471,2.7057214617729186,2.740090678018682
dnsmos,nisqa_val_live,local_residual_mondrian_k10,10.0,625,625,200,1.0,2.7514226508140562,2.7514226508140562
dnsmos,nisqa_val_live,local_residual_normalized_k10,10.0,625,625,200,0.99,2.5171142345819244,2.5776459067835806
dnsmos,nisqa_val_live,fixed,,625,625,200,1.0,2.760171413421631,2.760171413421631
dnsmos,nisqa_val_live,mahalanobis_mondrian,,625,625,200,1.0,2.752108960151672,2.752108960151672
dnsmos,nisqa_val_live,predicted_mos_mondrian,,625,625,200,1.0,2.732278497219086,2.732278497219086
dnsmos,nisqa_val_live,mos_extremity_mondrian,,625,625,200,1.0,2.722864750623703,2.722864750623703
dnsmos,nisqa_test_for,local_residual_mondrian_k10,10.0,625,625,240,0.9083333333333333,2.779202234745026,3.205393207073212
dnsmos,nisqa_test_for,local_residual_normalized_k10,10.0,625,625,240,0.9291666666666667,2.888496086021996,3.2302675194972488
dnsmos,nisqa_test_for,fixed,,625,625,240,0.9,2.760171413421631,3.2149482369422913
dnsmos,nisqa_test_for,mahalanobis_mondrian,,625,625,240,0.8958333333333334,2.756718889872233,3.2063019633293153
dnsmos,nisqa_test_for,predicted_mos_mondrian,,625,625,240,0.9125,2.785668655236562,3.191830172141393
dnsmos,nisqa_test_for,mos_extremity_mondrian,,625,625,240,0.9041666666666667,2.7747094790140787,3.1982171992460886
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k10,10.0,625,625,232,0.9525862068965517,2.778550561132102,3.0333051085472107
dnsmos,nisqa_test_livetalk,local_residual_normalized_k10,10.0,625,625,232,0.9137931034482759,2.7483471100796923,3.1392613780223644
dnsmos,nisqa_test_livetalk,fixed,,625,625,232,0.9439655172413793,2.760171413421631,3.033029247974527
dnsmos,nisqa_test_livetalk,mahalanobis_mondrian,,625,625,232,0.9482758620689655,2.7235105202115815,2.994854283743891
dnsmos,nisqa_test_livetalk,predicted_mos_mondrian,,625,625,232,0.9525862068965517,2.7535632499333085,3.0047406656988738
dnsmos,nisqa_test_livetalk,mos_extremity_mondrian,,625,625,232,0.9568965517241379,2.7346557563748854,3.0005658166161897
dnsmos,nisqa_test_p501,local_residual_mondrian_k10,10.0,625,625,240,0.8666666666666667,2.777732793490092,3.2541237910588583
dnsmos,nisqa_test_p501,local_residual_normalized_k10,10.0,625,625,240,0.8958333333333334,2.9303299421951654,3.416323236283075
dnsmos,nisqa_test_p501,fixed,,625,625,240,0.8708333333333333,2.760171413421631,3.2436138888200126
dnsmos,nisqa_test_p501,mahalanobis_mondrian,,625,625,240,0.8708333333333333,2.7648558497428892,3.244972018400828
dnsmos,nisqa_test_p501,predicted_mos_mondrian,,625,625,240,0.8833333333333333,2.7949451466401416,3.210601047674815
dnsmos,nisqa_test_p501,mos_extremity_mondrian,,625,625,240,0.8666666666666667,2.785622642437617,3.233181462685267
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,25.0,625,625,1250,0.9096,2.7253326013565062,3.137542861747742
dnsmos,nisqa_val_sim,local_residual_normalized_k25,25.0,625,625,1250,0.8928,2.686545111168292,3.1932514930828946
dnsmos,nisqa_train_live,local_residual_mondrian_k25,25.0,625,625,1020,0.9833333333333333,2.6530655739354154,2.7089686931348314
dnsmos,nisqa_train_live,local_residual_normalized_k25,25.0,625,625,1020,0.9764705882352941,2.485480565651373,2.5646317705432526
dnsmos,nisqa_val_live,local_residual_mondrian_k25,25.0,625,625,200,0.99,2.6521076834201813,2.6704667723178863
dnsmos,nisqa_val_live,local_residual_normalized_k25,25.0,625,625,200,0.99,2.5023841002660685,2.530718105624375
dnsmos,nisqa_test_for,local_residual_mondrian_k25,25.0,625,625,240,0.8916666666666667,2.737865858276685,3.126605066657066
dnsmos,nisqa_test_for,local_residual_normalized_k25,25.0,625,625,240,0.8958333333333334,2.6734161732347683,3.1559543245291346
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k25,25.0,625,625,232,0.9310344827586207,2.728936269365508,3.0549565142598647
dnsmos,nisqa_test_livetalk,local_residual_normalized_k25,25.0,625,625,232,0.9181034482758621,2.6293533749300813,3.0739161112338853
dnsmos,nisqa_test_p501,local_residual_mondrian_k25,25.0,625,625,240,0.8916666666666667,2.7825824201107023,3.243563203016917
dnsmos,nisqa_test_p501,local_residual_normalized_k25,25.0,625,625,240,0.8666666666666667,2.756101514510234,3.3121888991013955
dnsmos,nisqa_val_sim,local_residual_mondrian_k50,50.0,625,625,1250,0.9152,2.783278889465332,3.174658678817749
dnsmos,nisqa_val_sim,local_residual_normalized_k50,50.0,625,625,1250,0.9096,2.7433633502692176,3.1831435681073947
dnsmos,nisqa_train_live,local_residual_mondrian_k50,50.0,625,625,1020,0.9911764705882353,2.689876447939405,2.7154386010824467
dnsmos,nisqa_train_live,local_residual_normalized_k50,50.0,625,625,1020,0.9823529411764705,2.586211150074552,2.633659824966638
dnsmos,nisqa_val_live,local_residual_mondrian_k50,50.0,625,625,200,1.0,2.6969122982025144,2.6969122982025144
dnsmos,nisqa_val_live,local_residual_normalized_k50,50.0,625,625,200,0.995,2.5975357112124153,2.620103069666412
dnsmos,nisqa_test_for,local_residual_mondrian_k50,50.0,625,625,240,0.9,2.7666196624437966,3.2117192248503366
dnsmos,nisqa_test_for,local_residual_normalized_k50,50.0,625,625,240,0.8958333333333334,2.7203120598138937,3.186712856734447
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k50,50.0,625,625,232,0.9525862068965517,2.741592384617904,3.0129447086104033
dnsmos,nisqa_test_livetalk,local_residual_normalized_k50,50.0,625,625,232,0.9396551724137931,2.6971744525392296,3.015580674628195
dnsmos,nisqa_test_p501,local_residual_mondrian_k50,50.0,625,625,240,0.8708333333333333,2.7814218084017437,3.2571495354175566
dnsmos,nisqa_test_p501,local_residual_normalized_k50,50.0,625,625,240,0.8708333333333333,2.77141429999105,3.3345952089059088
nisqa,nisqa_val_sim,local_residual_mondrian_k10,10.0,625,625,1250,0.9144,2.8090449771881105,3.275138216018677
nisqa,nisqa_val_sim,local_residual_normalized_k10,10.0,625,625,1250,0.9024,2.778439603896471,3.3652734723518036
nisqa,nisqa_val_sim,fixed,,625,625,1250,0.896,2.91591215133667,3.551801847457886
nisqa,nisqa_val_sim,mahalanobis_mondrian,,625,625,1250,0.8992,2.856833064842224,3.5045662019729615
nisqa,nisqa_val_sim,predicted_mos_mondrian,,625,625,1250,0.912,2.9226411056518553,3.36848642539978
nisqa,nisqa_val_sim,mos_extremity_mondrian,,625,625,1250,0.9056,2.866054936790466,3.449202664756775
nisqa,nisqa_train_live,local_residual_mondrian_k10,10.0,625,625,1020,0.9794117647058823,2.629664134044273,2.7358982567693673
nisqa,nisqa_train_live,local_residual_normalized_k10,10.0,625,625,1020,0.9627450980392157,2.2713494837572346,2.4569425051221336
