model,dataset,difficulty,auroc_top_error_quartile,srcc_with_abs_error
dnsmos,nisqa_val_sim,local_residual_k10,0.59313934417845,0.1717120979024916
dnsmos,nisqa_train_live,local_residual_k10,0.5529104190695886,0.04710894102904569
dnsmos,nisqa_val_live,local_residual_k10,0.5718666666666667,0.12496817106734961
dnsmos,nisqa_test_for,local_residual_k10,0.5905555555555556,0.20967208841996193
dnsmos,nisqa_test_livetalk,local_residual_k10,0.48072730875941344,-0.005427274758488101
dnsmos,nisqa_test_p501,local_residual_k10,0.576111111111111,0.055169360579176714
dnsmos,nisqa_val_sim,local_residual_k25,0.589704072203791,0.1837035699919717
dnsmos,nisqa_train_live,local_residual_k25,0.5218762014609766,0.04404076811527307
dnsmos,nisqa_val_live,local_residual_k25,0.5710666666666667,0.17824345608640219
dnsmos,nisqa_test_for,local_residual_k25,0.5984259259259259,0.19948571144588728
dnsmos,nisqa_test_livetalk,local_residual_k25,0.4941537851763773,-0.03394844019381535
dnsmos,nisqa_test_p501,local_residual_k25,0.5480555555555555,0.03912134740215794
dnsmos,nisqa_val_sim,local_residual_k50,0.5974815961484038,0.1731289440924503
dnsmos,nisqa_train_live,local_residual_k50,0.49165705497885426,-0.030430508476301202
dnsmos,nisqa_val_live,local_residual_k50,0.5304,0.09065926648166206
dnsmos,nisqa_test_for,local_residual_k50,0.5727777777777778,0.16246288998072883
dnsmos,nisqa_test_livetalk,local_residual_k50,0.4592746730083234,0.04241296663969447
dnsmos,nisqa_test_p501,local_residual_k50,0.5151851851851851,-0.012648657094741224
nisqa,nisqa_val_sim,local_residual_k10,0.7487358540103177,0.41792429772204864
nisqa,nisqa_train_live,local_residual_k10,0.5596975522235038,0.1369924963844763
nisqa,nisqa_val_live,local_residual_k10,0.6094666666666667,0.20316290525873526
nisqa,nisqa_test_for,local_residual_k10,0.7060185185185186,0.34742241506905086
nisqa,nisqa_test_livetalk,local_residual_k10,0.5929449068569164,0.1053443374739808
nisqa,nisqa_test_p501,local_residual_k10,0.6556018518518519,0.3491996595425531
nisqa,nisqa_val_sim,local_residual_k25,0.7448726647822396,0.4268206446212126
nisqa,nisqa_train_live,local_residual_k25,0.5681968473663975,0.13423497723828565
nisqa,nisqa_val_live,local_residual_k25,0.6281333333333334,0.22576314407860198
nisqa,nisqa_test_for,local_residual_k25,0.7335185185185186,0.3614154424691395
nisqa,nisqa_test_livetalk,local_residual_k25,0.5474633372968688,0.05072469339155737
nisqa,nisqa_test_p501,local_residual_k25,0.6803703703703703,0.36021024670567187
nisqa,nisqa_val_sim,local_residual_k50,0.7361233765569539,0.42011053895603473
nisqa,nisqa_train_live,local_residual_k50,0.555447904652057,0.12231882982903108
nisqa,nisqa_val_live,local_residual_k50,0.638,0.19725043126078154
nisqa,nisqa_test_for,local_residual_k50,0.7382407407407406,0.36238042327123726
nisqa,nisqa_test_livetalk,local_residual_k50,0.547760602457392,0.053768194215138114
nisqa,nisqa_test_p501,local_residual_k50,0.6888888888888889,0.36714873522109753
utmos,nisqa_val_sim,local_residual_k10,0.6122302501696326,0.19170929997951985
utmos,nisqa_train_live,local_residual_k10,0.5853543508906831,0.18530860689095155
utmos,nisqa_val_live,local_residual_k10,0.5733333333333334,0.20247289702484852
utmos,nisqa_test_for,local_residual_k10,0.5742592592592592,0.07504266574546588
utmos,nisqa_test_livetalk,local_residual_k10,0.5037653586999604,0.11688701396203217
utmos,nisqa_test_p501,local_residual_k10,0.6108796296296296,0.1688551112597472
utmos,nisqa_val_sim,local_residual_k25,0.6356156723415428,0.20682474058291597
utmos,nisqa_train_live,local_residual_k25,0.6235319748814558,0.2418789370017935
utmos,nisqa_val_live,local_residual_k25,0.5736,0.1896717763022854
utmos,nisqa_test_for,local_residual_k25,0.5648611111111111,0.11863336770198964
utmos,nisqa_test_livetalk,local_residual_k25,0.5704518430439952,0.17823461095696894
utmos,nisqa_test_p501,local_residual_k25,0.6641666666666666,0.23943346226355666
utmos,nisqa_val_sim,local_residual_k50,0.6132599793372226,0.1925515579302775
utmos,nisqa_train_live,local_residual_k50,0.572069716775599,0.24022023007290874
utmos,nisqa_val_live,local_residual_k50,0.6268666666666667,0.3063745050146692
utmos,nisqa_test_for,local_residual_k50,0.5943055555555555,0.14761000621043635
utmos,nisqa_test_livetalk,local_residual_k50,0.637683313515656,0.31723243527225686
utmos,nisqa_test_p501,local_residual_k50,0.657175925925926,0.23311190959458913
