model,dataset,seed,method,coverage,mean_width,mean_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,nisqa_val_sim,20270830,mahalanobis_mondrian,0.8624,2.6230165821075437,3.286320420837402,0.0008000000000000229,-0.0171411174774172,0.010772100067138357
dnsmos,nisqa_val_sim,20270830,predicted_mos_mondrian,0.8568,2.5653559463500977,3.3383868396759033,-0.0048000000000000265,-0.07480175323486327,0.06283851890563952
dnsmos,nisqa_val_sim,20270830,mos_extremity_mondrian,0.8536,2.621131006240845,3.2895775508880614,-0.008000000000000007,-0.019026693344116108,0.014029230117797553
dnsmos,nisqa_val_sim,20270830,local_residual_mondrian_k10,0.8712,2.645612777328491,3.2684094825744627,0.009599999999999942,0.005455077743530268,-0.007138838195801078
dnsmos,nisqa_val_sim,20270830,local_residual_normalized_k10,0.8608,2.608374733034157,3.420377261957121,-0.0008000000000000229,-0.03178296655080404,0.1448289411868573
dnsmos,nisqa_val_sim,20270830,local_residual_mondrian_k25,0.8632,2.593473751068115,3.304546504974365,0.0015999999999999348,-0.046683948516845764,0.028998184204101385
dnsmos,nisqa_val_sim,20270830,local_residual_normalized_k25,0.8504,2.5390993741793815,3.394656589485433,-0.011199999999999988,-0.10105832540557946,0.119108268715169
dnsmos,nisqa_val_sim,20270830,local_residual_mondrian_k50,0.8624,2.5704443004608155,3.3322271697998045,0.0008000000000000229,-0.06971339912414543,0.05667884902954068
dnsmos,nisqa_val_sim,20270830,local_residual_normalized_k50,0.8544,2.534932017985328,3.339982729686938,-0.007199999999999984,-0.10522568159963308,0.06443440891667418
dnsmos,nisqa_train_live,20270830,mahalanobis_mondrian,0.9784313725490196,2.517745528501623,2.577050160894207,-0.009803921568627527,-0.1224121710833379,-0.10018748535829403
dnsmos,nisqa_train_live,20270830,predicted_mos_mondrian,0.9607843137254902,2.25597965483572,2.4159858460519827,-0.027450980392156876,-0.3841780447492411,-0.2612518002005184
dnsmos,nisqa_train_live,20270830,mos_extremity_mondrian,0.9696078431372549,2.4233479698499045,2.5540635948087655,-0.0186274509803922,-0.2168097297350564,-0.12317405144373561
dnsmos,nisqa_train_live,20270830,local_residual_mondrian_k10,0.9852941176470589,2.64594716090782,2.686527302685906,-0.002941176470588225,0.0057894613228590686,0.009289656433404847
dnsmos,nisqa_train_live,20270830,local_residual_normalized_k10,0.9666666666666667,2.5802838136133395,2.71891367090542,-0.021568627450980427,-0.059873885971621466,0.04167602465291864
dnsmos,nisqa_train_live,20270830,local_residual_mondrian_k25,0.984313725490196,2.5777677461212756,2.6322562858170153,-0.0039215686274510775,-0.062389953463685366,-0.04498136043548584
dnsmos,nisqa_train_live,20270830,local_residual_normalized_k25,0.9745098039215686,2.5121694782528414,2.6098102792337414,-0.013725490196078494,-0.1279882213321195,-0.06742736701875973
dnsmos,nisqa_train_live,20270830,local_residual_mondrian_k50,0.9774509803921568,2.5316140132791856,2.612283341557372,-0.010784313725490269,-0.10854368630577538,-0.0649543046951293
dnsmos,nisqa_train_live,20270830,local_residual_normalized_k50,0.9745098039215686,2.4796515972102453,2.566899466801171,-0.013725490196078494,-0.16050610237471563,-0.11033817945133029
dnsmos,nisqa_val_live,20270830,mahalanobis_mondrian,0.995,2.5310351419448853,2.5405077862739565,-0.0050000000000000044,-0.10912255764007561,-0.09964991331100448
dnsmos,nisqa_val_live,20270830,predicted_mos_mondrian,0.985,2.276591885089874,2.3096856594085695,-0.015000000000000013,-0.36356581449508685,-0.3304720401763914
