model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
dnsmos,local_residual_mondrian_k10,macro_across_datasets,20,0.0019833136128014346,0.01392653476984324,0.0038146771671478063,0.021808273261208745,-0.03840941842770773,0.04417289061478091,0.35,
dnsmos,local_residual_mondrian_k25,macro_across_datasets,20,0.0009326431147171436,-0.0018985899668485951,-0.0024867462634969245,0.025165435357480066,-0.04769539469354241,0.04193758707773269,0.6,
dnsmos,local_residual_mondrian_k50,macro_across_datasets,20,0.0008884854631507715,0.000499003415284797,-0.003385337939040475,0.036359382507793435,-0.08503146047883929,0.062994545931872,0.5,
dnsmos,local_residual_normalized_k10,macro_across_datasets,20,-0.004387634663060639,0.0765435796642306,0.13418428604335123,0.07833271515652415,0.0188618406412826,0.28016584229916114,0.0,
dnsmos,local_residual_normalized_k25,macro_across_datasets,20,-0.004315861505521761,-0.02413377493982296,0.010699812832304388,0.06429602109158675,-0.10746940668262339,0.14313859141407148,0.4,
dnsmos,local_residual_normalized_k50,macro_across_datasets,20,-0.005409039891818808,-0.05472471416265322,-0.025707345594283726,0.05291379146393017,-0.1368792526587974,0.06691649697467739,0.75,
dnsmos,mahalanobis_mondrian,macro_across_datasets,20,-0.0028371579896326418,-0.0543065483958355,-0.036969683359446816,0.023400024917433725,-0.0777340137506622,0.03233886174188968,0.95,
dnsmos,mos_extremity_mondrian,macro_across_datasets,20,0.0005671275636691296,-0.009733240382421775,-0.03469808043129976,0.021567297248340375,-0.08267857073391238,0.023707806868243624,0.95,
dnsmos,predicted_mos_mondrian,macro_across_datasets,20,-0.0019252974983096833,-0.043980202912991304,-0.04619913501511523,0.029953387508721476,-0.09894796007381308,0.009237554121033517,0.9,
nisqa,local_residual_mondrian_k10,macro_across_datasets,20,-0.008347164750957859,-0.33155598017356736,-0.259352281740422,0.06988804866974248,-0.384640985604404,-0.14005066248325182,1.0,
nisqa,local_residual_mondrian_k25,macro_across_datasets,20,-0.00709253831417625,-0.3542929993971326,-0.29511281646959736,0.057142852073144366,-0.4540232948294142,-0.19719365369292685,1.0,
nisqa,local_residual_mondrian_k50,macro_across_datasets,20,-0.006913209375704309,-0.3673250422035436,-0.3045369171024511,0.059770853513591966,-0.47302305075520196,-0.2228086932700417,1.0,
nisqa,local_residual_normalized_k10,macro_across_datasets,20,-0.020442501126887537,-0.35066904239603924,-0.20152699478470176,0.07837240916694219,-0.38352238050623016,-0.07855619205689364,1.0,
nisqa,local_residual_normalized_k25,macro_across_datasets,20,-0.01317306738787469,-0.41395134672124045,-0.31292407969377767,0.06534726805962462,-0.49717844534959266,-0.1973653560733737,1.0,
nisqa,local_residual_normalized_k50,macro_across_datasets,20,-0.0083753414469236,-0.41991022467124334,-0.3448745504449572,0.05475251511567263,-0.5112890610203216,-0.2733268148833638,1.0,
nisqa,mahalanobis_mondrian,macro_across_datasets,20,-0.025934078205995047,-0.4153306423955027,-0.2508452596523528,0.0429266121440193,-0.3398780016603868,-0.18748042246238694,1.0,
nisqa,mos_extremity_mondrian,macro_across_datasets,20,-0.003596365787694387,-0.07831359972893183,-0.028982972642821396,0.03312314169218849,-0.09474443438858333,0.03129596972016032,0.8,
nisqa,predicted_mos_mondrian,macro_across_datasets,20,-0.0011094393734505299,0.0020698855742920523,0.011350354536533977,0.03943939270901455,-0.06546427618769719,0.09110988753341664,0.45,
utmos,local_residual_mondrian_k10,macro_across_datasets,20,-0.008050380887987381,-0.05499843628242314,0.06330505334401684,0.08133780457755473,-0.04226308414380712,0.25784145462140323,0.2,
utmos,local_residual_mondrian_k25,macro_across_datasets,20,0.0031416886409736332,-0.020864860092062582,0.000685230320658092,0.06951164747312076,-0.11557068580972296,0.15631101628390684,0.5,
utmos,local_residual_mondrian_k50,macro_across_datasets,20,0.010108032454361052,-0.00795872197492932,-0.05164713343579761,0.05288251289075596,-0.15765067053527101,0.029307629031981215,0.75,
utmos,local_residual_normalized_k10,macro_across_datasets,20,-0.02306780820374127,-0.08690147668649113,0.2428109073498342,0.14662566527659995,-0.03433073461774239,0.5594942202361318,0.05,
utmos,local_residual_normalized_k25,macro_across_datasets,20,-0.007588061189993241,-0.07530655087218513,0.037277926307149274,0.08736582844035527,-0.10999907493614954,0.19121441146559884,0.3,
utmos,local_residual_normalized_k50,macro_across_datasets,20,-0.0016657003606040098,-0.0592173109666264,-0.024032797032163173,0.05725938183201047,-0.09637493020449554,0.15834856781628023,0.75,
utmos,mahalanobis_mondrian,macro_across_datasets,20,0.014189719405003378,0.07722170656381117,-0.027474292706728055,0.05106686221284198,-0.11474568458896577,0.05931571487090803,0.7,
utmos,mos_extremity_mondrian,macro_across_datasets,20,0.0024866176470588245,0.021939061848797535,0.013429104773530761,0.08314257807480847,-0.12037937905775793,0.2767892393464168,0.55,
utmos,predicted_mos_mondrian,macro_across_datasets,20,0.030933628577867932,0.156291915848952,-0.1099929495356811,0.059447862955539325,-0.27183228079803573,0.010250078977177926,0.95,
dnsmos,mahalanobis_mondrian,per_dataset,20,0.005640000000000017,0.009794909620285019,0.007759792184829717,0.013728442566652968,-0.009918054580688285,0.04844443511962915,0.35,nisqa_val_sim
dnsmos,predicted_mos_mondrian,per_dataset,20,0.006039999999999995,0.021294409828186044,0.01016416128158575,0.021821345910794356,-0.01814853649139403,0.06283851890563952,0.4,nisqa_val_sim
dnsmos,mos_extremity_mondrian,per_dataset,20,0.0043599999999999976,0.04077610655784605,-0.0006639462375640504,0.018862221934018514,-0.0285177236557006,0.03928722038269061,0.55,nisqa_val_sim
dnsmos,local_residual_mondrian_k10,per_dataset,20,0.005199999999999999,0.018226603059768687,0.008618572359085142,0.01757903055293624,-0.01866715698242194,0.04775503692626959,0.4,nisqa_val_sim
dnsmos,local_residual_normalized_k10,per_dataset,20,0.002720000000000006,0.1039511169054775,0.20119953192665693,0.06793766485257066,0.08505145735514219,0.36014630435575024,0.0,nisqa_val_sim
dnsmos,local_residual_mondrian_k25,per_dataset,20,0.0035999999999999977,-0.0001099801158904734,0.006149092283248936,0.017229262374821325,-0.03404323291778555,0.03050671424865703,0.3,nisqa_val_sim
dnsmos,local_residual_normalized_k25,per_dataset,20,0.00248000000000001,-0.00801854456722706,0.055463692736694645,0.04406261078611106,-0.004647191177837406,0.1468903321796171,0.05,nisqa_val_sim
dnsmos,local_residual_mondrian_k50,per_dataset,20,0.005479999999999996,2.471806526185283e-05,0.0052864472103119065,0.03004624877624378,-0.03362721977233907,0.08112742595672628,0.6,nisqa_val_sim
dnsmos,local_residual_normalized_k50,per_dataset,20,-0.0010799999999999976,-0.03913733270657997,0.0122614121596057,0.03135124221379293,-0.042175405109607045,0.06612015843927566,0.4,nisqa_val_sim
dnsmos,mahalanobis_mondrian,per_dataset,20,-0.006421568627451024,-0.0993852887200374,-0.08323337068744734,0.055740571868348486,-0.2422192073335836,0.03696640192293632,0.95,nisqa_train_live
dnsmos,predicted_mos_mondrian,per_dataset,20,-0.010784313725490246,-0.1311018107919132,-0.09310303117714684,0.09876428115195422,-0.2938932194429289,0.049658082513248214,0.9,nisqa_train_live
dnsmos,mos_extremity_mondrian,per_dataset,20,-0.009264705882353003,-0.08506040479622637,-0.05372613119144065,0.04452782954943907,-0.1730165631163354,0.0034836238505793204,0.95,nisqa_train_live
dnsmos,local_residual_mondrian_k10,per_dataset,20,-0.0016176470588235349,-0.003183033255969736,0.0015292840144213392,0.048131123454769574,-0.09407876379349656,0.1095654207117418,0.45,nisqa_train_live
dnsmos,local_residual_normalized_k10,per_dataset,20,-0.014117647058823573,-0.03904762301221794,0.02978047497339764,0.13529857934287387,-0.18657661483061272,0.3144287560447516,0.5,nisqa_train_live
dnsmos,local_residual_mondrian_k25,per_dataset,20,-0.002450980392156876,-0.027649641539536286,-0.016809432331253538,0.052199999171391835,-0.12969002583447642,0.07179928176543315,0.6,nisqa_train_live
