model,dataset,delta,ci_lo,ci_hi
nisqa,nisqa_val_sim,-0.023600000000000065,-0.030400000000000094,-0.016800000000000037
nisqa,nisqa_val_live,0.0,-0.020000000000000018,0.020000000000000018
nisqa,nisqa_test_for,0.016666666666666607,0.0,0.03750000000000009
nisqa,nisqa_test_livetalk,0.025862068965517238,0.008620689655172376,0.04741379310344829
nisqa,nisqa_test_p501,0.016666666666666607,-0.004166666666666652,0.04166666666666663
dnsmos,nisqa_val_sim,0.0011999999999999789,-0.0035999999999999366,0.005609999999999991
dnsmos,nisqa_val_live,-0.010000000000000009,-0.025000000000000022,0.0
dnsmos,nisqa_test_for,0.0,-0.02083333333333337,0.02083333333333326
dnsmos,nisqa_test_livetalk,0.004310344827586188,0.0,0.012931034482758674
dnsmos,nisqa_test_p501,0.004166666666666652,0.0,0.012500000000000067
utmos,nisqa_val_sim,-0.010399999999999965,-0.01559999999999995,-0.005600000000000049
utmos,nisqa_val_live,-0.020000000000000018,-0.040000000000000036,-0.0050000000000000044
utmos,nisqa_test_for,-0.012500000000000067,-0.029166666666666674,0.0
utmos,nisqa_test_livetalk,-0.02155172413793105,-0.04741379310344829,0.004310344827586188
utmos,nisqa_test_p501,-0.012499999999999956,-0.029166666666666674,0.0
