model,dataset,score,auroc_high_error,ci_lo,ci_hi,n_boot
nisqa,nisqa_test_for,mahalanobis,0.45083333333333336,0.33670684508886045,0.5936210899069073,1000
nisqa,nisqa_test_for,l2,0.3735185185185185,0.27784515564863677,0.4780259849373554,1000
nisqa,nisqa_test_for,knn,0.5536111111111112,0.44615099715099715,0.6634475807501168,1000
nisqa,nisqa_test_for,mos_extremity,0.384537037037037,0.29036760752688173,0.49681248706610814,1000
nisqa,nisqa_test_livetalk,mahalanobis,0.5719381688466113,0.45007505318528884,0.6826390605204931,1000
nisqa,nisqa_test_livetalk,l2,0.58115338882283,0.4579432514710689,0.6937288429510651,1000
nisqa,nisqa_test_livetalk,knn,0.5219976218787159,0.40970278532073545,0.628809118639954,1000
nisqa,nisqa_test_livetalk,mos_extremity,0.4721561632976615,0.361050645111486,0.5781783824801695,1000
nisqa,nisqa_test_p501,mahalanobis,0.5425925925925926,0.4510941338822931,0.6391921233747117,1000
nisqa,nisqa_test_p501,l2,0.5807407407407408,0.4782424782663812,0.6808996011370314,1000
nisqa,nisqa_test_p501,knn,0.4640740740740741,0.3657546378156434,0.5877115481522958,1000
nisqa,nisqa_test_p501,mos_extremity,0.37796296296296295,0.2605463030940659,0.5059208309547595,1000
nisqa,nisqa_val_live,mahalanobis,0.4821333333333333,0.38931833965887347,0.5740421028931032,1000
nisqa,nisqa_val_live,l2,0.36800000000000005,0.28400526349233246,0.4519983333333332,1000
nisqa,nisqa_val_live,knn,0.5738666666666666,0.47858390878758245,0.6688336038961039,1000
nisqa,nisqa_val_live,mos_extremity,0.37840000000000007,0.29434416891941934,0.45996051837289065,1000
dnsmos,nisqa_test_for,mahalanobis,0.31740740740740747,0.2295948707709714,0.40768606007125724,1000
dnsmos,nisqa_test_for,l2,0.2875925925925926,0.21992768787202382,0.3660170350862858,1000
dnsmos,nisqa_test_for,knn,0.3653703703703704,0.2808549450549451,0.4567896748722136,1000
dnsmos,nisqa_test_for,mos_extremity,0.3889814814814815,0.29462481996102685,0.4855805933744901,1000
dnsmos,nisqa_test_livetalk,mahalanobis,0.5682718985334919,0.46883319660306877,0.6742978368815719,1000
dnsmos,nisqa_test_livetalk,l2,0.5336900515259612,0.4271055872179009,0.6418623405851462,1000
dnsmos,nisqa_test_livetalk,knn,0.47621878715814503,0.37881531161617044,0.5857593338697958,1000
dnsmos,nisqa_test_livetalk,mos_extremity,0.4850376535869996,0.3937888597548401,0.5861409407416721,1000
dnsmos,nisqa_test_p501,mahalanobis,0.37601851851851853,0.27780715084111046,0.49194533668207197,1000
dnsmos,nisqa_test_p501,l2,0.2891666666666667,0.20446921085218955,0.3880512861003435,1000
dnsmos,nisqa_test_p501,knn,0.43851851851851853,0.33457197206948924,0.5505413484911207,1000
dnsmos,nisqa_test_p501,mos_extremity,0.4018518518518519,0.3107133300975707,0.49770239526199095,1000
dnsmos,nisqa_val_live,mahalanobis,0.4029333333333333,0.3187133559705716,0.4904172752192982,1000
dnsmos,nisqa_val_live,l2,0.40746666666666664,0.32497803459421404,0.49408525284492155,1000
dnsmos,nisqa_val_live,knn,0.386,0.30457310490452244,0.47175809646328515,1000
dnsmos,nisqa_val_live,mos_extremity,0.4752,0.39409932460939917,0.5572323720197544,1000
utmos,nisqa_test_for,mahalanobis,0.5094444444444444,0.40777365393174014,0.611278029440943,1000
utmos,nisqa_test_for,l2,0.4119444444444445,0.3028376360723859,0.5241512566137565,1000
utmos,nisqa_test_for,knn,0.5368518518518519,0.4322330688140059,0.6495536120921315,1000
utmos,nisqa_test_for,mos_extremity,0.41000000000000003,0.3043024488644534,0.527826840555801,1000
utmos,nisqa_test_livetalk,mahalanobis,0.42281014665081257,0.3401624671440225,0.5024445348374703,1000
utmos,nisqa_test_livetalk,l2,0.37237415774871185,0.25881856020153887,0.48422032248961727,1000
utmos,nisqa_test_livetalk,knn,0.4346016646848989,0.34859335724759116,0.5268775568555081,1000
utmos,nisqa_test_livetalk,mos_extremity,0.3830757035275466,0.28328021333286285,0.5002075432880396,1000
utmos,nisqa_test_p501,mahalanobis,0.4750925925925926,0.35283090279212886,0.5911095458214102,1000
utmos,nisqa_test_p501,l2,0.34564814814814815,0.2558425202546296,0.45250773859088106,1000
utmos,nisqa_test_p501,knn,0.5583333333333333,0.45642181465995096,0.6633698605520414,1000
utmos,nisqa_test_p501,mos_extremity,0.31351851851851853,0.20588947368421054,0.43258722178580783,1000
utmos,nisqa_val_live,mahalanobis,0.4981333333333333,0.41209564177241526,0.5850155279503105,1000
utmos,nisqa_val_live,l2,0.40426666666666666,0.33078540993263916,0.4804365499746321,1000
utmos,nisqa_val_live,knn,0.5469333333333333,0.45599661592127344,0.6317914671551258,1000
utmos,nisqa_val_live,mos_extremity,0.4032,0.3297055929493001,0.4804871885926573,1000
