model,dataset,score,auroc,ci_lo,ci_hi,n
dnsmos,nisqa_val_sim,mahalanobis,0.4404615368878311,0.40448638242289436,0.47560299992184485,1250
dnsmos,nisqa_val_sim,l2,0.4526921280273867,0.41768141344113324,0.49105642804147615,1250
dnsmos,nisqa_val_sim,knn,0.43847027253725945,0.40187583725075077,0.4726146099458514,1250
dnsmos,nisqa_val_sim,mos_extremity,0.4774499541395454,0.44246261843663637,0.5120150302801576,1250
dnsmos,nisqa_val_sim,ensemble_loo_disagreement,0.634422277610892,0.5963106836856324,0.673819220507336,1250
dnsmos,nisqa_val_sim,ensemble_std,0.6553271435926638,0.616639374781696,0.6924317354168043,1250
nisqa,nisqa_val_sim,mahalanobis,0.3845902052979907,0.3496161867977909,0.4198704170593154,1250
nisqa,nisqa_val_sim,l2,0.4042539407598856,0.3674845400673502,0.4372829136530257,1250
nisqa,nisqa_val_sim,knn,0.48586509184024873,0.44966954900986106,0.5190716086083224,1250
nisqa,nisqa_val_sim,mos_extremity,0.3480791459385368,0.3148209713667951,0.3829702729179066,1250
nisqa,nisqa_val_sim,ensemble_loo_disagreement,0.6434238835792294,0.6074491624196346,0.6800859996084175,1250
nisqa,nisqa_val_sim,ensemble_std,0.5864716773333424,0.5506163345652426,0.6232083281542649,1250
utmos,nisqa_val_sim,mahalanobis,0.47996631217160335,0.4433864596276587,0.5169408764717395,1250
utmos,nisqa_val_sim,l2,0.40040780002795956,0.3665871290043702,0.4346913620411758,1250
utmos,nisqa_val_sim,knn,0.5159147711580362,0.4782317433143108,0.5496674235691523,1250
utmos,nisqa_val_sim,mos_extremity,0.4185269417384692,0.38150852369253985,0.4549781386204021,1250
utmos,nisqa_val_sim,ensemble_loo_disagreement,0.4846682874103675,0.4478156338574329,0.5236742434588135,1250
utmos,nisqa_val_sim,ensemble_std,0.46474541480695986,0.42899369884886396,0.5024766230292809,1250
dnsmos,nisqa_train_live,mahalanobis,0.5494912213251313,0.5094459492726102,0.5867554681030976,1020
dnsmos,nisqa_train_live,l2,0.5703037293348713,0.5320885604057243,0.6100652588765724,1020
dnsmos,nisqa_train_live,knn,0.5414020248622324,0.5029347520044843,0.5825534049694128,1020
dnsmos,nisqa_train_live,mos_extremity,0.5686684608483916,0.5287857197511034,0.6073011598691158,1020
dnsmos,nisqa_train_live,ensemble_loo_disagreement,0.6005074971164936,0.560870767498764,0.6405733877045264,1020
dnsmos,nisqa_train_live,ensemble_std,0.5602768166089965,0.52010601659723,0.5978612254887546,1020
nisqa,nisqa_train_live,mahalanobis,0.5397154940407536,0.49974110328118254,0.5798567402278332,1020
nisqa,nisqa_train_live,l2,0.49843906189926956,0.4607690158802554,0.5371867344321332,1020
nisqa,nisqa_train_live,knn,0.5748788927335641,0.5338369279115774,0.6149686155221479,1020
nisqa,nisqa_train_live,mos_extremity,0.4715673458926054,0.43328669424067845,0.5107725245008005,1020
nisqa,nisqa_train_live,ensemble_loo_disagreement,0.5564321414840446,0.5145884084349692,0.5981716133080347,1020
nisqa,nisqa_train_live,ensemble_std,0.5688273740868897,0.5277199417915657,0.6088479313583253,1020
utmos,nisqa_train_live,mahalanobis,0.4627040881712162,0.42577408438498543,0.4993467269237813,1020
utmos,nisqa_train_live,l2,0.4478892733564014,0.4125575457334338,0.4843750592732455,1020
utmos,nisqa_train_live,knn,0.48211200820197364,0.4456211100045373,0.5201256655943832,1020
utmos,nisqa_train_live,mos_extremity,0.4474637959759067,0.41207654115149545,0.4827837722183542,1020
utmos,nisqa_train_live,ensemble_loo_disagreement,0.7184108676150198,0.6844926259868165,0.7520266472860426,1020
utmos,nisqa_train_live,ensemble_std,0.6966295014737922,0.6622920195284423,0.7320343969577783,1020
dnsmos,nisqa_val_live,mahalanobis,0.48733333333333334,0.39657143446049165,0.5786246840345728,200
dnsmos,nisqa_val_live,l2,0.46119999999999994,0.371512359811858,0.5551032248644135,200
dnsmos,nisqa_val_live,knn,0.48066666666666663,0.3883681016380292,0.5697000615854042,200
dnsmos,nisqa_val_live,mos_extremity,0.5145333333333333,0.4216706137072944,0.6088373804607026,200
dnsmos,nisqa_val_live,ensemble_loo_disagreement,0.6401333333333334,0.5504761332478724,0.7303690376859964,200
dnsmos,nisqa_val_live,ensemble_std,0.5798666666666668,0.49424182254196647,0.6669289573549209,200
nisqa,nisqa_val_live,mahalanobis,0.4821333333333333,0.39132001318829784,0.5730591164104095,200
nisqa,nisqa_val_live,l2,0.36800000000000005,0.2901973189202517,0.4541856913762323,200
nisqa,nisqa_val_live,knn,0.5738666666666666,0.4776139630809442,0.6670897659455591,200
nisqa,nisqa_val_live,mos_extremity,0.37840000000000007,0.2969692423237417,0.465036951144094,200
nisqa,nisqa_val_live,ensemble_loo_disagreement,0.6105333333333334,0.5157412222265965,0.7096204914227066,200
nisqa,nisqa_val_live,ensemble_std,0.5429333333333334,0.44218489235282044,0.6388905228758169,200
utmos,nisqa_val_live,mahalanobis,0.4981333333333333,0.4074986834518227,0.5830172362722821,200
utmos,nisqa_val_live,l2,0.40426666666666666,0.32847132423371644,0.48260907357877886,200
utmos,nisqa_val_live,knn,0.5469333333333333,0.45983848593128923,0.6370613494335386,200
utmos,nisqa_val_live,mos_extremity,0.4032,0.3266169453564203,0.48280155939298797,200
utmos,nisqa_val_live,ensemble_loo_disagreement,0.7161333333333333,0.6372127370044453,0.7921839028184416,200
utmos,nisqa_val_live,ensemble_std,0.7178666666666667,0.6383526387539737,0.7926125161205422,200
dnsmos,nisqa_test_for,mahalanobis,0.36,0.27596684975717234,0.4508178559524195,240
dnsmos,nisqa_test_for,l2,0.3238888888888889,0.24877277124335948,0.4105009273450174,240
dnsmos,nisqa_test_for,knn,0.40990740740740744,0.32788927193319023,0.4957209844191279,240
dnsmos,nisqa_test_for,mos_extremity,0.34351851851851856,0.2662715063664106,0.4235844999709179,240
dnsmos,nisqa_test_for,ensemble_loo_disagreement,0.8026851851851852,0.691785150445404,0.8966205964122578,240
dnsmos,nisqa_test_for,ensemble_std,0.7864814814814814,0.6987684551647317,0.8585114078697352,240
nisqa,nisqa_test_for,mahalanobis,0.45083333333333336,0.3367890158474422,0.5810969593669371,240
nisqa,nisqa_test_for,l2,0.3735185185185185,0.2816837849351921,0.471599344204747,240
nisqa,nisqa_test_for,knn,0.5536111111111112,0.4493310975960432,0.6631578928342832,240
nisqa,nisqa_test_for,mos_extremity,0.384537037037037,0.2882870404340964,0.49018182598860477,240
nisqa,nisqa_test_for,ensemble_loo_disagreement,0.6473148148148149,0.5568259060088847,0.741730056766296,240
nisqa,nisqa_test_for,ensemble_std,0.49472222222222223,0.3971178980866338,0.597696161740074,240
utmos,nisqa_test_for,mahalanobis,0.5094444444444444,0.40940187847274795,0.6128612921318058,240
utmos,nisqa_test_for,l2,0.4119444444444445,0.3024041193266137,0.5261639838688108,240
utmos,nisqa_test_for,knn,0.5368518518518519,0.43805189270359934,0.6437507554945056,240
