model,dataset,score,auroc,ci_lo,ci_hi,n,n_train
dnsmos,nisqa_val_sim,logistic_combiner,0.638385323098699,0.5847520243052724,0.6891328111595149,625,312
dnsmos,nisqa_train_live,logistic_combiner,0.5601845444059976,0.5207275978498669,0.6016281493520349,1020,312
dnsmos,nisqa_val_live,logistic_combiner,0.6097333333333333,0.5183336337555849,0.7024706230666959,200,312
dnsmos,nisqa_test_for,logistic_combiner,0.7461111111111112,0.650847894931794,0.8301953899352249,240,312
dnsmos,nisqa_test_livetalk,logistic_combiner,0.5816488307570353,0.45366365974226763,0.7031731305953892,232,312
dnsmos,nisqa_test_p501,logistic_combiner,0.8390740740740741,0.7518434499634713,0.9120445526695525,240,312
nisqa,nisqa_val_sim,logistic_combiner,0.7658010779029887,0.721951719998821,0.8058205991812636,625,312
nisqa,nisqa_train_live,logistic_combiner,0.5450519031141868,0.5064180234118902,0.5859645230428668,1020,312
nisqa,nisqa_val_live,logistic_combiner,0.6217333333333334,0.5347710191964963,0.7027663117102808,200,312
nisqa,nisqa_test_for,logistic_combiner,0.7317592592592593,0.6320036325462085,0.8137193887876948,240,312
nisqa,nisqa_test_livetalk,logistic_combiner,0.49544193420531113,0.3922944369791465,0.6025829578326218,232,312
nisqa,nisqa_test_p501,logistic_combiner,0.7133333333333334,0.6142641766712162,0.8074119104474264,240,312
utmos,nisqa_val_sim,logistic_combiner,0.5664162447601938,0.5148611350615948,0.6159638646010186,625,312
utmos,nisqa_train_live,logistic_combiner,0.6088683839548891,0.5737675235330795,0.6428319230933465,1020,312
utmos,nisqa_val_live,logistic_combiner,0.5952,0.5117398706658786,0.6758187188218382,200,312
utmos,nisqa_test_for,logistic_combiner,0.6445370370370371,0.5372003141534392,0.7410473191929546,240,312
utmos,nisqa_test_livetalk,logistic_combiner,0.6632976615140705,0.5597739012400029,0.7547585067337151,232,312
utmos,nisqa_test_p501,logistic_combiner,0.7079629629629629,0.6079855047454702,0.7970329743623947,240,312
