dataset,predictor,rmse,srcc
nisqa_val_sim,dnsmos,0.8603807370848351,0.6973387499720988
nisqa_val_sim,nisqa,0.8637235191274106,0.8063195130394657
nisqa_val_sim,utmos,0.6738129030763181,0.8270456417958953
nisqa_val_sim,ensemble_mean,0.6919983205112693,0.8591609125216245
nisqa_train_live,dnsmos,0.5494020250540304,0.6740563678259067
nisqa_train_live,nisqa,0.5281990261241243,0.6494865310152617
nisqa_train_live,utmos,0.8291742736794093,0.701954926333747
nisqa_train_live,ensemble_mean,0.5062166801480714,0.7468632081458156
nisqa_val_live,dnsmos,0.5249104365007865,0.674462840810297
nisqa_val_live,nisqa,0.5251128738340533,0.6379066218668148
nisqa_val_live,utmos,0.8515482255677249,0.749089059126412
nisqa_val_live,ensemble_mean,0.5101485219164689,0.7532756316141823
nisqa_test_for,dnsmos,0.8446646438725752,0.5406630343811974
nisqa_test_for,nisqa,0.7339900568228516,0.7249699752185249
nisqa_test_for,utmos,0.6039910494581653,0.7690400244402625
nisqa_test_for,ensemble_mean,0.5486940933061977,0.8300064716774807
nisqa_test_livetalk,dnsmos,0.7650048572317041,0.5934208265866487
nisqa_test_livetalk,nisqa,0.747153278252608,0.7061498585860863
nisqa_test_livetalk,utmos,1.0224339380142842,0.7734344258519573
nisqa_test_livetalk,ensemble_mean,0.7493241848346186,0.780822593623921
nisqa_test_p501,dnsmos,0.9132843056280777,0.6954190017962628
nisqa_test_p501,nisqa,0.6527052284849141,0.8307363918080901
nisqa_test_p501,utmos,0.6357629618710225,0.8798610298103627
nisqa_test_p501,ensemble_mean,0.5739238397463958,0.9037522638035331
