model,dataset,score,auroc,ci_lo,ci_hi,n,n_train
dnsmos,nisqa_val_sim,gbm_combiner,0.652647119997545,0.6176421701042372,0.6875653294101338,1250,625
dnsmos,nisqa_train_live,gbm_combiner,0.48878636421889016,0.4473108955441872,0.5299800685531588,1020,625
dnsmos,nisqa_val_live,gbm_combiner,0.5059333333333332,0.40713247804958236,0.6041772337399682,200,625
dnsmos,nisqa_test_for,gbm_combiner,0.7327777777777778,0.6516829324914851,0.8013777018429223,240,625
dnsmos,nisqa_test_livetalk,gbm_combiner,0.6142489100277447,0.5203391472868217,0.6991686656271359,232,625
dnsmos,nisqa_test_p501,gbm_combiner,0.6716666666666666,0.5829283227280289,0.7585231834743348,240,625
nisqa,nisqa_val_sim,gbm_combiner,0.7393864587204763,0.7064744796427359,0.7700972062471533,1250,625
nisqa,nisqa_train_live,gbm_combiner,0.5504728950403691,0.5115441053318001,0.5911143094625094,1020,625
nisqa,nisqa_val_live,gbm_combiner,0.6236,0.5408598461696147,0.7087941371090415,200,625
nisqa,nisqa_test_for,gbm_combiner,0.7545833333333334,0.6673150548523683,0.8312176960970064,240,625
nisqa,nisqa_test_livetalk,gbm_combiner,0.4535275465715418,0.3543654470065153,0.547922027745831,232,625
nisqa,nisqa_test_p501,gbm_combiner,0.6630092592592592,0.5681177893842404,0.7487120518688024,240,625
utmos,nisqa_val_sim,gbm_combiner,0.5962268268316051,0.560129784307508,0.6305435883601749,1250,625
utmos,nisqa_train_live,gbm_combiner,0.6128104575163399,0.5744266487138993,0.651544081799707,1020,625
utmos,nisqa_val_live,gbm_combiner,0.6598666666666666,0.5789000206085132,0.7354901121224422,200,625
utmos,nisqa_test_for,gbm_combiner,0.5657407407407407,0.48260767299577706,0.6442315042315041,240,625
utmos,nisqa_test_livetalk,gbm_combiner,0.5611375346809354,0.47162739976355816,0.636481927970981,232,625
utmos,nisqa_test_p501,gbm_combiner,0.5741666666666667,0.47811617049579275,0.6630980413202634,240,625
