model,dataset,score,auroc,ci_lo,ci_hi,n
dnsmos,nisqa_val_sim,mahalanobis,0.43524949333333335,0.4096559827091059,0.45894544986190383,2500
dnsmos,nisqa_val_sim,knn,0.43969962666666673,0.414569364112517,0.46488454075588553,2500
dnsmos,nisqa_val_sim,ensemble_loo_disagreement,0.6185147733333334,0.5899014630340598,0.6464487059979845,2500
dnsmos,nisqa_val_sim,precision_weighted_disagreement,0.63821056,0.6114704019731004,0.6639142453461973,2500
nisqa,nisqa_val_sim,mahalanobis,0.37676373333333335,0.35288279602587735,0.4010892677457581,2500
nisqa,nisqa_val_sim,knn,0.47218944,0.4464824940060809,0.49684200837236603,2500
nisqa,nisqa_val_sim,ensemble_loo_disagreement,0.6374254933333333,0.6120891406571677,0.6629781270871447,2500
nisqa,nisqa_val_sim,precision_weighted_disagreement,0.66706432,0.6416746943591504,0.6927403413376481,2500
utmos,nisqa_val_sim,mahalanobis,0.4890615466666667,0.46383225623801333,0.5143511331496518,2500
utmos,nisqa_val_sim,knn,0.5230365866666666,0.4957446863353991,0.5502849473763254,2500
utmos,nisqa_val_sim,ensemble_loo_disagreement,0.48533845333333336,0.4603153653547055,0.5112423749819993,2500
utmos,nisqa_val_sim,precision_weighted_disagreement,0.48527701333333334,0.458548390962263,0.5113323246390495,2500
dnsmos,nisqa_train_live,mahalanobis,0.5494912213251313,0.5104903859282193,0.58818133319448,1020
dnsmos,nisqa_train_live,knn,0.5414020248622324,0.5024298119489138,0.5809767032713946,1020
dnsmos,nisqa_train_live,ensemble_loo_disagreement,0.6005074971164936,0.5593360503789704,0.6400111092067025,1020
dnsmos,nisqa_train_live,precision_weighted_disagreement,0.5939971805715749,0.5523764347474875,0.63352210580823,1020
nisqa,nisqa_train_live,mahalanobis,0.5397154940407536,0.499346279234219,0.5767620336416397,1020
nisqa,nisqa_train_live,knn,0.5748788927335641,0.5331406865373312,0.6143885769363031,1020
nisqa,nisqa_train_live,ensemble_loo_disagreement,0.5564321414840446,0.5159571751123134,0.5992833242533147,1020
nisqa,nisqa_train_live,precision_weighted_disagreement,0.5366500064077919,0.49231599185639524,0.580271666460915,1020
