model,score,method,dataset,n,coverage,mean_width,mean_interval_score
dnsmos,mahalanobis,fixed,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736
dnsmos,mahalanobis,fixed,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895
dnsmos,mahalanobis,fixed,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785
dnsmos,mahalanobis,fixed,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913
dnsmos,mahalanobis,fixed,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106
dnsmos,mahalanobis,fixed,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001
dnsmos,mahalanobis,adaptive,nisqa_val_sim,1250,0.9008,2.730152508163452,3.1447600025177
dnsmos,mahalanobis,adaptive,nisqa_train_live,1020,0.9862745098039216,2.627627398219763,2.6671811339901943
dnsmos,mahalanobis,adaptive,nisqa_val_live,200,0.995,2.627308430671692,2.628456094264984
dnsmos,mahalanobis,adaptive,nisqa_test_for,240,0.8791666666666667,2.6688890526692073,3.1765133013327915
dnsmos,mahalanobis,adaptive,nisqa_test_livetalk,232,0.9353448275862069,2.6307856039754274,2.9814235023383437
dnsmos,mahalanobis,adaptive,nisqa_test_p501,240,0.8708333333333333,2.7245945701996486,3.2782903581857683
dnsmos,ensemble_loo_disagreement,fixed,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736
dnsmos,ensemble_loo_disagreement,fixed,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895
dnsmos,ensemble_loo_disagreement,fixed,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785
dnsmos,ensemble_loo_disagreement,fixed,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913
dnsmos,ensemble_loo_disagreement,fixed,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106
dnsmos,ensemble_loo_disagreement,fixed,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_val_sim,1250,0.9136,2.7505367654800414,3.0850167058944704
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_train_live,1020,0.9931372549019608,2.740211937941757,2.765621124529371
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_val_live,200,1.0,2.71513077378273,2.71513077378273
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_test_for,240,0.9625,2.945085326830546,3.058689077695211
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_test_livetalk,232,0.9482758620689655,2.7347878217697144,2.9681567467492203
dnsmos,ensemble_loo_disagreement,adaptive,nisqa_test_p501,240,0.9083333333333333,2.7708026081323625,3.0649025152126947
dnsmos,precision_weighted_disagreement,fixed,nisqa_val_sim,1250,0.9016,2.741448402404785,3.1452769622802736
dnsmos,precision_weighted_disagreement,fixed,nisqa_train_live,1020,0.9901960784313726,2.741448402404785,2.7678904323016895
dnsmos,precision_weighted_disagreement,fixed,nisqa_val_live,200,1.0,2.741448402404785,2.741448402404785
dnsmos,precision_weighted_disagreement,fixed,nisqa_test_for,240,0.9,2.741448402404785,3.2149482369422913
dnsmos,precision_weighted_disagreement,fixed,nisqa_test_livetalk,232,0.9439655172413793,2.741448402404785,3.0247975793378106
