model,dataset,k,auroc,fpr95
nisqa,nisqa_test_for,1,0.6448533333333333,0.9344
nisqa,nisqa_test_livetalk,1,0.875398275862069,0.5516
nisqa,nisqa_test_p501,1,0.6623566666666667,0.8976
nisqa,nisqa_val_live,1,0.9282779999999999,0.3156
nisqa,nisqa_test_for,5,0.6444300000000001,0.9276
nisqa,nisqa_test_livetalk,5,0.878651724137931,0.5184
nisqa,nisqa_test_p501,5,0.6609166666666667,0.8652
nisqa,nisqa_val_live,5,0.9163309999999999,0.3084
nisqa,nisqa_test_for,10,0.6451374999999999,0.924
nisqa,nisqa_test_livetalk,10,0.8740551724137932,0.5236
nisqa,nisqa_test_p501,10,0.6636449999999999,0.8704
nisqa,nisqa_val_live,10,0.9078399999999999,0.2996
nisqa,nisqa_test_for,20,0.6441766666666667,0.9008
nisqa,nisqa_test_livetalk,20,0.8724172413793103,0.558
nisqa,nisqa_test_p501,20,0.6622116666666666,0.8636
nisqa,nisqa_val_live,20,0.899672,0.3032
nisqa,nisqa_test_for,50,0.6483183333333334,0.874
nisqa,nisqa_test_livetalk,50,0.8649258620689656,0.5744
nisqa,nisqa_test_p501,50,0.6667666666666666,0.8432
nisqa,nisqa_val_live,50,0.885898,0.3292
dnsmos,nisqa_test_for,1,0.6550816666666668,0.8696
dnsmos,nisqa_test_livetalk,1,0.7473603448275863,0.812
dnsmos,nisqa_test_p501,1,0.477305,0.9428
dnsmos,nisqa_val_live,1,0.7845139999999999,0.686
dnsmos,nisqa_test_for,5,0.6504666666666666,0.8476
dnsmos,nisqa_test_livetalk,5,0.7589224137931034,0.7536
dnsmos,nisqa_test_p501,5,0.4799866666666667,0.946
dnsmos,nisqa_val_live,5,0.78535,0.64
dnsmos,nisqa_test_for,10,0.6442166666666665,0.8624
dnsmos,nisqa_test_livetalk,10,0.7544155172413793,0.7736
dnsmos,nisqa_test_p501,10,0.4777916666666667,0.9432
dnsmos,nisqa_val_live,10,0.7825040000000001,0.6092
dnsmos,nisqa_test_for,20,0.6391950000000001,0.8852
dnsmos,nisqa_test_livetalk,20,0.7462275862068966,0.7864
dnsmos,nisqa_test_p501,20,0.47448500000000005,0.9444
dnsmos,nisqa_val_live,20,0.7781299999999999,0.5916
dnsmos,nisqa_test_for,50,0.6295249999999999,0.898
dnsmos,nisqa_test_livetalk,50,0.73805,0.808
dnsmos,nisqa_test_p501,50,0.47229,0.9488
dnsmos,nisqa_val_live,50,0.77115,0.568
utmos,nisqa_test_for,1,0.41780833333333334,0.9268
utmos,nisqa_test_livetalk,1,0.6158241379310345,0.852
utmos,nisqa_test_p501,1,0.5291216666666666,0.8924
utmos,nisqa_val_live,1,0.6371100000000001,0.8772
utmos,nisqa_test_for,5,0.41063833333333327,0.9412
utmos,nisqa_test_livetalk,5,0.62395,0.8436
utmos,nisqa_test_p501,5,0.523575,0.876
utmos,nisqa_val_live,5,0.625526,0.8388
utmos,nisqa_test_for,10,0.4141908333333334,0.948
utmos,nisqa_test_livetalk,10,0.6220517241379311,0.83
utmos,nisqa_test_p501,10,0.5246566666666667,0.8556
utmos,nisqa_val_live,10,0.62408,0.8248
utmos,nisqa_test_for,20,0.4149616666666667,0.9312
utmos,nisqa_test_livetalk,20,0.6186896551724139,0.868
utmos,nisqa_test_p501,20,0.5270233333333333,0.8776
utmos,nisqa_val_live,20,0.6303179999999999,0.836
utmos,nisqa_test_for,50,0.4317533333333333,0.9488
utmos,nisqa_test_livetalk,50,0.621248275862069,0.8672
utmos,nisqa_test_p501,50,0.5304833333333333,0.848
utmos,nisqa_val_live,50,0.64913,0.8152
