model,dataset,alpha,nominal_coverage,method,coverage,mean_width
nisqa,nisqa_train_sim,0.05,0.95,conformal_fixed,0.7847,2.141486167907715
nisqa,nisqa_train_sim,0.05,0.95,conformal_adaptive,0.7706,2.09063720703125
nisqa,nisqa_train_live,0.05,0.95,conformal_fixed,0.9509803921568627,2.141486167907715
nisqa,nisqa_train_live,0.05,0.95,conformal_adaptive,0.9558823529411765,2.1783130168914795
nisqa,nisqa_val_sim,0.05,0.95,conformal_fixed,0.7708,2.141486167907715
nisqa,nisqa_val_sim,0.05,0.95,conformal_adaptive,0.762,2.085218667984009
nisqa,nisqa_val_live,0.05,0.95,conformal_fixed,0.975,2.141486406326294
nisqa,nisqa_val_live,0.05,0.95,conformal_adaptive,0.97,2.1785128116607666
nisqa,nisqa_test_for,0.05,0.95,conformal_fixed,0.8833333333333333,2.141486167907715
nisqa,nisqa_test_for,0.05,0.95,conformal_adaptive,0.8833333333333333,2.126433849334717
nisqa,nisqa_test_livetalk,0.05,0.95,conformal_fixed,0.853448275862069,2.141486167907715
nisqa,nisqa_test_livetalk,0.05,0.95,conformal_adaptive,0.8577586206896551,2.1726021766662598
nisqa,nisqa_test_p501,0.05,0.95,conformal_fixed,0.8875,2.141486167907715
nisqa,nisqa_test_p501,0.05,0.95,conformal_adaptive,0.8958333333333334,2.129295825958252
nisqa,nisqa_train_sim,0.1,0.9,conformal_fixed,0.6798,1.7016808986663818
nisqa,nisqa_train_sim,0.1,0.9,conformal_adaptive,0.6553,1.6242246627807617
nisqa,nisqa_train_live,0.1,0.9,conformal_fixed,0.9009803921568628,1.7016808986663818
nisqa,nisqa_train_live,0.1,0.9,conformal_adaptive,0.9068627450980392,1.7321057319641113
nisqa,nisqa_val_sim,0.1,0.9,conformal_fixed,0.6724,1.7016806602478027
nisqa,nisqa_val_sim,0.1,0.9,conformal_adaptive,0.6476,1.6193575859069824
nisqa,nisqa_val_live,0.1,0.9,conformal_fixed,0.895,1.7016807794570923
nisqa,nisqa_val_live,0.1,0.9,conformal_adaptive,0.895,1.7326105833053589
nisqa,nisqa_test_for,0.1,0.9,conformal_fixed,0.7791666666666667,1.7016807794570923
nisqa,nisqa_test_for,0.1,0.9,conformal_adaptive,0.7958333333333333,1.6659085750579834
nisqa,nisqa_test_livetalk,0.1,0.9,conformal_fixed,0.7198275862068966,1.7016808986663818
nisqa,nisqa_test_livetalk,0.1,0.9,conformal_adaptive,0.7413793103448276,1.7196003198623657
nisqa,nisqa_test_p501,0.1,0.9,conformal_fixed,0.8041666666666667,1.7016810178756714
nisqa,nisqa_test_p501,0.1,0.9,conformal_adaptive,0.8208333333333333,1.6698377132415771
nisqa,nisqa_train_sim,0.2,0.8,conformal_fixed,0.5736,1.342618703842163
nisqa,nisqa_train_sim,0.2,0.8,conformal_adaptive,0.5254,1.1997660398483276
nisqa,nisqa_train_live,0.2,0.8,conformal_fixed,0.8009803921568628,1.342618703842163
nisqa,nisqa_train_live,0.2,0.8,conformal_adaptive,0.803921568627451,1.3543449640274048
nisqa,nisqa_val_sim,0.2,0.8,conformal_fixed,0.5572,1.342618465423584
nisqa,nisqa_val_sim,0.2,0.8,conformal_adaptive,0.514,1.1912121772766113
nisqa,nisqa_val_live,0.2,0.8,conformal_fixed,0.78,1.3426185846328735
nisqa,nisqa_val_live,0.2,0.8,conformal_adaptive,0.795,1.3544710874557495
nisqa,nisqa_test_for,0.2,0.8,conformal_fixed,0.7166666666666667,1.3426185846328735
