filepath,condition,mos,dataset,split
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00000_chp_0009_reader_06709_17_seg_live_phone_1.wav,VoIP-landline to mobile,2.75,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00000_chp_0009_reader_06709_17_seg_live_phone_600.wav,VoIP-landline to mobile,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00000_chp_0009_reader_06709_17_seg_live_skype_1.wav,Skype,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00000_chp_0009_reader_06709_17_seg_live_skype_600.wav,Skype,3.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_58_seg_live_phone_2.wav,VoIP-landline to mobile,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_58_seg_live_phone_601.wav,VoIP-landline to mobile,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_58_seg_live_skype_2.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_58_seg_live_skype_601.wav,Skype,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_7_seg_live_phone_3.wav,VoIP-landline to mobile,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_7_seg_live_phone_602.wav,VoIP-landline to mobile,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_7_seg_live_skype_3.wav,Skype,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00007_chp_0008_reader_01326_7_seg_live_skype_602.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00028_chp_0015_reader_08897_0_seg_live_phone_4.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00028_chp_0015_reader_08897_0_seg_live_phone_603.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00028_chp_0015_reader_08897_0_seg_live_skype_4.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00028_chp_0015_reader_08897_0_seg_live_skype_603.wav,Skype,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00053_chp_0013_reader_05953_12_seg_live_phone_5.wav,VoIP-landline to mobile,2.8,nisqa_train_live,calibration
