model,dataset,d_prime,pca,auroc,fpr95,var_explained
nisqa,nisqa_test_for,16,True,0.6559766666666667,0.8344,0.8944833874702454
nisqa,nisqa_test_livetalk,16,True,0.8406172413793104,0.6104,0.8944833874702454
nisqa,nisqa_test_p501,16,True,0.6725533333333333,0.8268,0.8944833874702454
nisqa,nisqa_val_live,16,True,0.829968,0.4652,0.8944833874702454
nisqa,nisqa_test_for,32,True,0.6805733333333334,0.8456,0.9753609895706177
nisqa,nisqa_test_livetalk,32,True,0.8522034482758621,0.618,0.9753609895706177
nisqa,nisqa_test_p501,32,True,0.676275,0.7984,0.9753609895706177
nisqa,nisqa_val_live,32,True,0.8403059999999999,0.47,0.9753609895706177
nisqa,nisqa_test_for,50,True,0.6884733333333333,0.856,0.996091365814209
nisqa,nisqa_test_livetalk,50,True,0.8492034482758619,0.5488,0.996091365814209
nisqa,nisqa_test_p501,50,True,0.6993516666666667,0.7276,0.996091365814209
nisqa,nisqa_val_live,50,True,0.8566520000000001,0.448,0.996091365814209
nisqa,nisqa_test_for,64,False,0.6852333333333332,0.8568,1.0
nisqa,nisqa_test_livetalk,64,False,0.849794827586207,0.4688,1.0
nisqa,nisqa_test_p501,64,False,0.7143583333333333,0.7268,1.0
nisqa,nisqa_val_live,64,False,0.87026,0.416,1.0
dnsmos,nisqa_test_for,16,True,0.588155,0.918,0.9612049460411072
dnsmos,nisqa_test_livetalk,16,True,0.7052999999999999,0.8352,0.9612049460411072
dnsmos,nisqa_test_p501,16,True,0.501665,0.954,0.9612049460411072
dnsmos,nisqa_val_live,16,True,0.73033,0.7132,0.9612049460411072
dnsmos,nisqa_test_for,32,True,0.6238416666666667,0.908,0.9969329833984375
dnsmos,nisqa_test_livetalk,32,True,0.7288913793103449,0.836,0.9969329833984375
dnsmos,nisqa_test_p501,32,True,0.5048699999999999,0.948,0.9969329833984375
dnsmos,nisqa_val_live,32,True,0.720472,0.7064,0.9969329833984375
dnsmos,nisqa_test_for,50,True,0.6267366666666666,0.908,1.0000001192092896
dnsmos,nisqa_test_livetalk,50,True,0.7252310344827586,0.8412,1.0000001192092896
dnsmos,nisqa_test_p501,50,True,0.4966683333333334,0.9492,1.0000001192092896
dnsmos,nisqa_val_live,50,True,0.727586,0.7084,1.0000001192092896
dnsmos,nisqa_test_for,64,False,0.6267366666666667,0.908,1.0
dnsmos,nisqa_test_livetalk,64,False,0.7252344827586208,0.8412,1.0
dnsmos,nisqa_test_p501,64,False,0.49666499999999997,0.9492,1.0
dnsmos,nisqa_val_live,64,False,0.727586,0.7084,1.0
utmos,nisqa_test_for,16,True,0.4735366666666667,0.9588,0.9975427985191345
utmos,nisqa_test_livetalk,16,True,0.5874827586206895,0.906,0.9975427985191345
utmos,nisqa_test_p501,16,True,0.52564,0.8924,0.9975427985191345
utmos,nisqa_val_live,16,True,0.66935,0.7308,0.9975427985191345
utmos,nisqa_test_for,32,True,0.46857499999999996,0.9436,0.99855637550354
utmos,nisqa_test_livetalk,32,True,0.6075827586206897,0.8476,0.99855637550354
utmos,nisqa_test_p501,32,True,0.5356683333333334,0.8936,0.99855637550354
utmos,nisqa_val_live,32,True,0.681554,0.7252,0.99855637550354
utmos,nisqa_test_for,50,True,0.45315833333333333,0.9496,0.9990531206130981
utmos,nisqa_test_livetalk,50,True,0.6114344827586207,0.8316,0.9990531206130981
utmos,nisqa_test_p501,50,True,0.5195316666666667,0.9104,0.9990531206130981
utmos,nisqa_val_live,50,True,0.695678,0.7692,0.9990531206130981
utmos,nisqa_test_for,64,True,0.4512191666666666,0.9324,0.9992743730545044
utmos,nisqa_test_livetalk,64,True,0.6263758620689654,0.7868,0.9992743730545044
utmos,nisqa_test_p501,64,True,0.5212983333333333,0.9072,0.9992743730545044
utmos,nisqa_val_live,64,True,0.6871039999999999,0.7796,0.9992743730545044
utmos,nisqa_test_for,128,True,0.4163516666666667,0.9344,0.9997103214263916
utmos,nisqa_test_livetalk,128,True,0.6258741379310344,0.8064,0.9997103214263916
utmos,nisqa_test_p501,128,True,0.50107,0.904,0.9997103214263916
utmos,nisqa_val_live,128,True,0.669178,0.8252,0.9997103214263916
utmos,nisqa_test_for,256,True,0.38851333333333327,0.9592,0.9999228119850159
utmos,nisqa_test_livetalk,256,True,0.6027999999999999,0.8264,0.9999228119850159
utmos,nisqa_test_p501,256,True,0.512225,0.8752,0.9999228119850159
utmos,nisqa_val_live,256,True,0.647413,0.7756,0.9999228119850159
utmos,nisqa_test_for,1024,False,0.38493,0.9448,1.0
utmos,nisqa_test_livetalk,1024,False,0.616996551724138,0.7604,1.0
utmos,nisqa_test_p501,1024,False,0.5347250000000001,0.8152,1.0
utmos,nisqa_val_live,1024,False,0.629082,0.772,1.0
