coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
1.0,240,0.7339900568228516,0.7339900568228515,nisqa,nisqa_test_for,mahalanobis
0.9,216,0.7360376165978021,0.7330518409282589,nisqa,nisqa_test_for,mahalanobis
0.8,192,0.7477898022344058,0.7352428352515501,nisqa,nisqa_test_for,mahalanobis
0.7,168,0.7466856269988259,0.7326631393170366,nisqa,nisqa_test_for,mahalanobis
0.6,144,0.7736478259558098,0.7337420353336964,nisqa,nisqa_test_for,mahalanobis
0.5,120,0.8255642429463262,0.7328271245139751,nisqa,nisqa_test_for,mahalanobis
1.0,240,0.7339900568228516,0.7339900568228515,nisqa,nisqa_test_for,l2
0.9,216,0.7640075895180068,0.7329417463632326,nisqa,nisqa_test_for,l2
0.8,192,0.7916321472982303,0.7327987016957869,nisqa,nisqa_test_for,l2
0.7,168,0.7919837009415619,0.7318554077206049,nisqa,nisqa_test_for,l2
0.6,144,0.7870571611862336,0.7288315127906586,nisqa,nisqa_test_for,l2
0.5,120,0.8226499937724933,0.7270983328678113,nisqa,nisqa_test_for,l2
1.0,240,0.7339900568228516,0.7339900568228515,nisqa,nisqa_test_for,knn
0.9,216,0.7352175558963351,0.7333560342305995,nisqa,nisqa_test_for,knn
0.8,192,0.7448956524977933,0.7340791726494182,nisqa,nisqa_test_for,knn
0.7,168,0.7552898362615312,0.7332112067953469,nisqa,nisqa_test_for,knn
0.6,144,0.7156878694388551,0.7350098791458436,nisqa,nisqa_test_for,knn
0.5,120,0.7086390073773994,0.7338204140638641,nisqa,nisqa_test_for,knn
1.0,240,0.7339900568228516,0.7339900568228515,nisqa,nisqa_test_for,mos_extremity
0.9,216,0.7565991147139152,0.7335547409439552,nisqa,nisqa_test_for,mos_extremity
0.8,192,0.7816465803666577,0.7351251179054897,nisqa,nisqa_test_for,mos_extremity
0.7,168,0.81546375667527,0.7316143511696868,nisqa,nisqa_test_for,mos_extremity
0.6,144,0.8216253357650158,0.7306169821106667,nisqa,nisqa_test_for,mos_extremity
0.5,120,0.7759884958190655,0.7291939841161843,nisqa,nisqa_test_for,mos_extremity
1.0,232,0.747153278252608,0.7471532782526079,nisqa,nisqa_test_livetalk,mahalanobis
0.9,209,0.7519831843165176,0.7463149394949748,nisqa,nisqa_test_livetalk,mahalanobis
0.8,186,0.7202100474005102,0.7468183214614741,nisqa,nisqa_test_livetalk,mahalanobis
0.7,162,0.7031940883751924,0.7468678065354308,nisqa,nisqa_test_livetalk,mahalanobis
0.6,139,0.7233920876273423,0.7472648095077937,nisqa,nisqa_test_livetalk,mahalanobis
0.5,116,0.7268354514754418,0.7424805141700894,nisqa,nisqa_test_livetalk,mahalanobis
1.0,232,0.747153278252608,0.7471532782526079,nisqa,nisqa_test_livetalk,l2
0.9,209,0.7331835243542301,0.7474791641085102,nisqa,nisqa_test_livetalk,l2
0.8,186,0.7308900449711592,0.7479553175204695,nisqa,nisqa_test_livetalk,l2
0.7,162,0.7051072755684624,0.7484118920721784,nisqa,nisqa_test_livetalk,l2
0.6,139,0.731659893631234,0.7456934797707983,nisqa,nisqa_test_livetalk,l2
0.5,116,0.7339754861546551,0.746846948890878,nisqa,nisqa_test_livetalk,l2
1.0,232,0.747153278252608,0.7471532782526079,nisqa,nisqa_test_livetalk,knn
0.9,209,0.7492613281065449,0.7467095187450574,nisqa,nisqa_test_livetalk,knn
0.8,186,0.7627315045380593,0.7475156427387029,nisqa,nisqa_test_livetalk,knn
0.7,162,0.7722872258061423,0.7473178504167247,nisqa,nisqa_test_livetalk,knn
0.6,139,0.7823790106680688,0.747044569367802,nisqa,nisqa_test_livetalk,knn
0.5,116,0.744525060954155,0.7402303977215385,nisqa,nisqa_test_livetalk,knn
1.0,232,0.747153278252608,0.7471532782526079,nisqa,nisqa_test_livetalk,mos_extremity
0.9,209,0.7445700773370433,0.7480562449111212,nisqa,nisqa_test_livetalk,mos_extremity
0.8,186,0.7403656811244411,0.7466025535835382,nisqa,nisqa_test_livetalk,mos_extremity
