model,dataset,score,auroc_domain,auroc_error
nisqa,nisqa_val_live,mahalpp,0.8568880000000001,0.5002666666666666
nisqa,nisqa_test_livetalk,mahalpp,0.8567482758620689,0.5596512088783195
nisqa,nisqa_test_p501,mahalpp,0.7426699999999999,0.5252777777777778
nisqa,nisqa_test_for,mahalpp,0.7011016666666666,0.4507407407407407
nisqa,nisqa_train_live,mahalpp,0.8559219607843139,0.5466871716006664
nisqa,nisqa_val_live,mars,0.8717820000000001,0.4774666666666667
nisqa,nisqa_test_livetalk,mars,0.8493844827586209,0.5688664288545382
nisqa,nisqa_test_p501,mars,0.7137266666666667,0.5435185185185185
nisqa,nisqa_test_for,mars,0.68422,0.4469444444444445
nisqa,nisqa_train_live,mars,0.8715984313725491,0.5393515314622581
dnsmos,nisqa_val_live,mahalpp,0.7919459999999999,0.5087999999999999
dnsmos,nisqa_test_livetalk,mahalpp,0.7467000000000001,0.47938961553705906
dnsmos,nisqa_test_p501,mahalpp,0.4821833333333333,0.4499074074074075
dnsmos,nisqa_test_for,mahalpp,0.6465766666666667,0.37601851851851853
dnsmos,nisqa_train_live,mahalpp,0.7966494117647059,0.5556990900935538
dnsmos,nisqa_val_live,mars,0.734244,0.4856
dnsmos,nisqa_test_livetalk,mars,0.7142155172413793,0.5019817677368212
dnsmos,nisqa_test_p501,mars,0.47588166666666665,0.43574074074074076
dnsmos,nisqa_test_for,mars,0.6193233333333333,0.3559259259259259
dnsmos,nisqa_train_live,mars,0.743575294117647,0.5573087274125337
utmos,nisqa_val_live,mahalpp,0.591546,0.49933333333333335
utmos,nisqa_test_livetalk,mahalpp,0.5927517241379311,0.43757431629013077
utmos,nisqa_test_p501,mahalpp,0.5396116666666666,0.5057407407407407
utmos,nisqa_test_for,mahalpp,0.36418,0.5325925925925925
utmos,nisqa_train_live,mahalpp,0.6014725490196079,0.4576342432397796
utmos,nisqa_val_live,mars,0.626266,0.5038666666666667
utmos,nisqa_test_livetalk,mars,0.6160465517241379,0.4246928260007927
utmos,nisqa_test_p501,mars,0.5351316666666667,0.48
utmos,nisqa_test_for,mars,0.38292000000000004,0.5101851851851852
utmos,nisqa_train_live,mars,0.6343619607843137,0.4625964372677176
