model,dataset,score,auroc_domain,auroc_error,fpr95_error,aupr_error,srcc_error
nisqa,nisqa_train_live,mahalpp,0.8559219607843139,0.5466871716006664,0.8928104575163399,0.2787455889020235,0.0748864731364658
nisqa,nisqa_test_for,mahalpp,0.7011016666666666,0.4507407407407407,0.9555555555555556,0.2551903447905892,-0.02747790760256254
nisqa,nisqa_val_live,mahalpp,0.8568880000000001,0.5002666666666666,0.9,0.2889844331637592,0.009703742593564841
nisqa,nisqa_test_p501,mahalpp,0.7426699999999999,0.5252777777777778,0.9777777777777777,0.30090172788198993,-0.020224309449816832
nisqa,nisqa_test_livetalk,mahalpp,0.8567482758620689,0.5596512088783195,0.9827586206896551,0.31192371105546124,-0.015836390928887594
nisqa,nisqa_train_live,mars,0.8715984313725491,0.5393515314622581,0.8901960784313725,0.2746248407926498,0.054836122544161925
nisqa,nisqa_test_for,mars,0.68422,0.4469444444444445,0.9611111111111111,0.24784475702137657,-0.03311081789614403
nisqa,nisqa_val_live,mars,0.8717820000000001,0.4774666666666667,0.9133333333333333,0.2686227535922391,-0.0245211130278257
nisqa,nisqa_test_p501,mars,0.7137266666666667,0.5435185185185185,0.95,0.2919796443970869,0.020222573308564383
nisqa,nisqa_test_livetalk,mars,0.8493844827586209,0.5688664288545382,0.9827586206896551,0.3221922312909834,-0.011393667750038918
dnsmos,nisqa_train_live,mahalpp,0.7966494117647059,0.5556990900935538,0.9320261437908497,0.26547205808746965,0.07751411887622527
dnsmos,nisqa_test_for,mahalpp,0.6465766666666667,0.37601851851851853,0.9166666666666666,0.20837391075143835,-0.14809111269292866
dnsmos,nisqa_val_live,mahalpp,0.7919459999999999,0.5087999999999999,0.94,0.24843544227670364,-0.07428035700892523
dnsmos,nisqa_test_p501,mahalpp,0.4821833333333333,0.4499074074074075,0.9444444444444444,0.22473263257068865,-0.07272956127710549
dnsmos,nisqa_test_livetalk,mahalpp,0.7467000000000001,0.47938961553705906,0.9827586206896551,0.26098617591762224,-0.06582014995512109
dnsmos,nisqa_train_live,mars,0.743575294117647,0.5573087274125337,0.9294117647058824,0.2674295194739711,0.08753566999719509
dnsmos,nisqa_test_for,mars,0.6193233333333333,0.3559259259259259,0.9388888888888889,0.2041608603557679,-0.20132207156374238
dnsmos,nisqa_val_live,mars,0.734244,0.4856,0.9666666666666667,0.23780740898339953,-0.10311557788944725
dnsmos,nisqa_test_p501,mars,0.47588166666666665,0.43574074074074076,0.9333333333333333,0.2169552428930982,-0.08459869094949563
dnsmos,nisqa_test_livetalk,mars,0.7142155172413793,0.5019817677368212,0.9827586206896551,0.28162664891853445,-0.053250212862466804
utmos,nisqa_train_live,mahalpp,0.6014725490196079,0.4576342432397796,0.9424836601307189,0.2154250763539746,-0.21292940609945857
utmos,nisqa_test_for,mahalpp,0.36418,0.5325925925925925,0.9111111111111111,0.2761831007387015,0.038103092067570614
utmos,nisqa_val_live,mahalpp,0.591546,0.49933333333333335,0.9533333333333334,0.23877960180456112,-0.10795769894247358
utmos,nisqa_test_p501,mahalpp,0.5396116666666666,0.5057407407407407,0.9277777777777778,0.25600171527332743,-0.02108109515790204
utmos,nisqa_test_livetalk,mahalpp,0.5927517241379311,0.43757431629013077,0.9827586206896551,0.21834084732284567,-0.06606712807689571
utmos,nisqa_train_live,mars,0.6343619607843137,0.4625964372677176,0.9320261437908497,0.21666872343307414,-0.2071101680842695
utmos,nisqa_test_for,mars,0.38292000000000004,0.5101851851851852,0.9388888888888889,0.27113392401491887,-0.0046667476865917806
utmos,nisqa_val_live,mars,0.626266,0.5038666666666667,0.9533333333333334,0.23947380716137925,-0.10566414160354011
utmos,nisqa_test_p501,mars,0.5351316666666667,0.48,0.9444444444444444,0.2433192372106603,-0.06124064653900241
utmos,nisqa_test_livetalk,mars,0.6160465517241379,0.4246928260007927,0.9770114942528736,0.21274876325075873,-0.09637143971907917
