filepath,condition,mos,dataset,split,id,row_idx,raw_ratings,selection_rank_sha256
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P422-fileid_408.flac,P422,1.875,urgent2024_mos_external,external_test,P422-fileid_408,122,"[1.0, 2.0, 3.0, 1.0, 4.0, 1.0, 1.0, 2.0]",00d1f21a97f12984005f3c308b2c74693a841d251309adcc8cb78741575247c9
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P422-fileid_929.flac,P422,4.25,urgent2024_mos_external,external_test,P422-fileid_929,274,"[4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 4.0, 3.0]",0049e2fd1fe918c4dfbf4a1b7100389bc023ce3e47a009ec306da5425e39e410
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P426-fileid_294.flac,P426,1.375,urgent2024_mos_external,external_test,P426-fileid_294,3686,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]",001ea14e46a2ba8ec71582cf9f66982818eaa2e36a3285c0c281181cbb157758
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P426-fileid_746.flac,P426,1.5,urgent2024_mos_external,external_test,P426-fileid_746,3816,"[1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0]",0237f8df4b8aec691adb84533017841dd8a28955cf7e1645f7d5e4f8427ce3d1
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P427-fileid_182.flac,P427,2.5,urgent2024_mos_external,external_test,P427-fileid_182,350,"[3.0, 3.0, 3.0, 1.0, 4.0, 1.0, 3.0, 2.0]",0072d0f6937a3ed1eb629e5e5b60199c3a521e2b5415a9fbb199dd14d2406be8
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P427-fileid_985.flac,P427,2.875,urgent2024_mos_external,external_test,P427-fileid_985,592,"[4.0, 3.0, 4.0, 1.0, 4.0, 3.0, 3.0, 1.0]",00015941639255541996ebde942a00fc36cf7c0038250698c039124654c8967d
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P455-fileid_363.flac,P455,2.375,urgent2024_mos_external,external_test,P455-fileid_363,4007,"[4.0, 3.0, 1.0, 3.0, 1.0, 3.0, 3.0, 1.0]",003e69c277fb5ce446eb6be7a463ca8b1c13492de1db5e793d448a73d2209984
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P455-fileid_934.flac,P455,3.25,urgent2024_mos_external,external_test,P455-fileid_934,4176,"[3.0, 4.0, 1.0, 5.0, 3.0, 3.0, 3.0, 4.0]",00fbe38d881bcf2bbde3ac75238c95dcf17a0b7b6c1880005c37d74ce0e5588b
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P456-fileid_107.flac,P456,2.625,urgent2024_mos_external,external_test,P456-fileid_107,636,"[2.0, 1.0, 3.0, 3.0, 2.0, 4.0, 3.0, 3.0]",04127a8663ad919002e2f73b26d6da86d944bda73d86a1a87a48aeb99bdd1475
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P456-fileid_767.flac,P456,2.625,urgent2024_mos_external,external_test,P456-fileid_767,822,"[1.0, 1.0, 2.0, 4.0, 4.0, 3.0, 3.0, 3.0]",02f86e115e6ad2f07992971b7372f7549877957bf48074a43f147a1b49039ae8
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P474-fileid_342.flac,P474,3.0,urgent2024_mos_external,external_test,P474-fileid_342,4302,"[3.0, 4.0, 2.0, 2.0, 4.0, 4.0, 3.0, 2.0]",00dd1768358a903923c2b33cb7413f1adc16e00fbee90c7a30b1bce1114b34e4
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P474-fileid_432.flac,P474,3.375,urgent2024_mos_external,external_test,P474-fileid_432,4332,"[3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0]",0153afcdae0b1383b910f948ff7dda1dc3d1f361014458f7ab89be979e739ea9
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P477-fileid_37.flac,P477,2.25,urgent2024_mos_external,external_test,P477-fileid_37,913,"[4.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 2.0]",008c77d4b481fc412d92471b1c14f76856a1afc39eba74dc481d6b404a1d6d98
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P477-fileid_759.flac,P477,2.875,urgent2024_mos_external,external_test,P477-fileid_759,1118,"[1.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 2.0]",01468754b3c928d847b3893f34fe746e6e03ce7e734762ad9b51ae1fcd78e353
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P478-fileid_104.flac,P478,4.0,urgent2024_mos_external,external_test,P478-fileid_104,4535,"[3.0, 4.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0]",00b635538b13700a59c1d7ea259ca9c4f3d6afeb0284c0a13c0068114967f8d4
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P478-fileid_187.flac,P478,4.0,urgent2024_mos_external,external_test,P478-fileid_187,4552,"[4.0, 4.0, 5.0, 4.0, 4.0, 3.0, 4.0, 4.0]",005d5b7beafafebf5ce498220763141c1715d8056510de6f026b396df643487c
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P481-fileid_445.flac,P481,3.375,urgent2024_mos_external,external_test,P481-fileid_445,1335,"[4.0, 4.0, 3.0, 4.0, 2.0, 3.0, 4.0, 3.0]",02b377352a203386f3875d6dc2ef3ba5291ebe43197662cafb54e1bc5ca6500e
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P481-fileid_884.flac,P481,3.375,urgent2024_mos_external,external_test,P481-fileid_884,1455,"[4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0]",037178f949790e50c21c016f05a1caf3b2740330c7dfee37a14a0f7e505ac29c
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P488-fileid_294.flac,P488,3.875,urgent2024_mos_external,external_test,P488-fileid_294,4886,"[4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 1.0, 5.0]",00caebae12a8ec500419d17a22942f431860ce75cc1e604daf71e5e07900da6f
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P488-fileid_994.flac,P488,3.25,urgent2024_mos_external,external_test,P488-fileid_994,5096,"[4.0, 1.0, 5.0, 3.0, 4.0, 1.0, 5.0, 3.0]",00c0f5d5190246d86603e070a820fb6947980767a59bc19f44d2a674a5843731
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P489-fileid_417.flac,P489,4.5,urgent2024_mos_external,external_test,P489-fileid_417,1626,"[5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0]",01003ed231e86b1f8ada4a92632b3501b8c13253f9afc88924bda8ab4ed4e2a0
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P489-fileid_746.flac,P489,3.375,urgent2024_mos_external,external_test,P489-fileid_746,1716,"[4.0, 4.0, 3.0, 1.0, 4.0, 5.0, 3.0, 3.0]",021d68e9e5e2b906c710ac552240b456cf0f5ca1c283a7333fc3f823760b36a6
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P492-fileid_388.flac,P492,3.0,urgent2024_mos_external,external_test,P492-fileid_388,5217,"[3.0, 4.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0]",00bc7fc5dafeb8f700661baedaf2ed0a99756f6ccc38da39537a46478e02252f
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P492-fileid_902.flac,P492,3.625,urgent2024_mos_external,external_test,P492-fileid_902,5360,"[2.0, 3.0, 5.0, 3.0, 4.0, 4.0, 4.0, 4.0]",0031fc33f8480b01b1cb10073037b3d88dacc63c5bae6fb5c14d394348f010f0
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P495-fileid_455.flac,P495,4.125,urgent2024_mos_external,external_test,P495-fileid_455,1936,"[4.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 4.0]",005c9d8525ab5c5550dbaadb201e9793f693837d06a5003a1c5eae7e52fd68d9
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P495-fileid_726.flac,P495,4.5,urgent2024_mos_external,external_test,P495-fileid_726,2009,"[4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0]",006d70d2e680ebaa5bbc9a3e3600397b628cfd3a89fbcab7591bbc3425e99cf3
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P505-fileid_275.flac,P505,3.25,urgent2024_mos_external,external_test,P505-fileid_275,5480,"[2.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 2.0]",01e7351a61397bf7cf86481da5d23a11780f5c912cb50b80bb18547ef66a4e17
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P505-fileid_817.flac,P505,3.25,urgent2024_mos_external,external_test,P505-fileid_817,5640,"[3.0, 5.0, 3.0, 3.0, 4.0, 3.0, 2.0, 3.0]",01c9e451c8162647b463061763849f3ce085ef12137358880941624d96aaea30
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P506-fileid_245.flac,P506,1.625,urgent2024_mos_external,external_test,P506-fileid_245,2172,"[1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0]",023f364e72eb1e3cb238fa4fb26fe925cfb06e17fa5d068d48592dac4897524b
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P506-fileid_737.flac,P506,3.625,urgent2024_mos_external,external_test,P506-fileid_737,2313,"[3.0, 4.0, 5.0, 5.0, 4.0, 3.0, 1.0, 4.0]",0041972aaf92ba7c5556147e0ca0826f59b431d3ed83b5fb6e2654438cf1528a
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P508-fileid_336.flac,P508,3.625,urgent2024_mos_external,external_test,P508-fileid_336,5798,"[3.0, 3.0, 4.0, 4.0, 3.0, 4.0, 5.0, 3.0]",027599ce915c328cac8c38a1a9599ae0c218ff4d3a2717ce4bd5981bc192d334
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P508-fileid_820.flac,P508,1.875,urgent2024_mos_external,external_test,P508-fileid_820,5941,"[1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 1.0]",014387d62308eda4667520be449fdf8be1e4a823f20c6a49f61f864fcbd42868
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P509-fileid_277.flac,P509,1.375,urgent2024_mos_external,external_test,P509-fileid_277,2481,"[1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0]",001b395288cf5cc2e4431d78158d2ce533b7e7295d68579c8c85f746d1f9dd68
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P509-fileid_703.flac,P509,3.125,urgent2024_mos_external,external_test,P509-fileid_703,2601,"[3.0, 2.0, 4.0, 3.0, 4.0, 2.0, 3.0, 4.0]",002112dc14d47cd0f49bf934ccd687c25036cf966ee463f9c88abe2845590064
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P511-fileid_609.flac,P511,3.5,urgent2024_mos_external,external_test,P511-fileid_609,6173,"[3.0, 4.0, 5.0, 4.0, 4.0, 1.0, 4.0, 3.0]",005cc8aecc812d3e48875ca17ec0eb9245819518dd62267ea1c106fb6fc3fed3
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P511-fileid_99.flac,P511,2.625,urgent2024_mos_external,external_test,P511-fileid_99,6033,"[3.0, 3.0, 1.0, 2.0, 3.0, 4.0, 1.0, 4.0]",003807f0d3cdcdf1001baf174dffdd048209ef2a5d2b6c19e53897e7518d8df1
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P518-fileid_410.flac,P518,2.75,urgent2024_mos_external,external_test,P518-fileid_410,2824,"[1.0, 3.0, 1.0, 3.0, 4.0, 3.0, 3.0, 4.0]",0300e744518685425949d5f739e2033b83150a3cc0f4c6cce7a3e9ed0c02b702
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2024_MOS\audio\P518-fileid_495.flac,P518,4.25,urgent2024_mos_external,external_test,P518-fileid_495,2847,"[4.0, 4.0, 5.0, 4.0, 3.0, 5.0, 5.0, 4.0]",00fb049e2dd3146bdc6798e097c00a0b22616eda59e7003edc5ca924d2b8bd43
