filepath,sample_id,system_id,mos,dataset,ref_dnsmos_ovrl,ref_nisqa_mos,ref_utmos
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000029.flac,urgent25_blind_test_fileid_000029,urgent25_blind_test_submission_716,1.375,urgent2025_sqa_scaled,1.4475988149642944,1.3729451894760132,1.2405225038528442
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000178.flac,urgent25_blind_test_fileid_000178,urgent25_blind_test_submission_716,1.125,urgent2025_sqa_scaled,1.2878034114837646,1.308005452156067,1.2298946380615234
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000238.flac,urgent25_blind_test_fileid_000238,urgent25_blind_test_submission_716,1.5,urgent2025_sqa_scaled,1.126291036605835,1.8003915548324585,1.2733430862426758
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000239.flac,urgent25_blind_test_fileid_000239,urgent25_blind_test_submission_716,2.125,urgent2025_sqa_scaled,2.331216812133789,2.202807664871216,1.4869917631149292
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000270.flac,urgent25_blind_test_fileid_000270,urgent25_blind_test_submission_716,1.625,urgent2025_sqa_scaled,1.1239137649536133,1.173952579498291,1.270897388458252
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000345.flac,urgent25_blind_test_fileid_000345,urgent25_blind_test_submission_716,1.25,urgent2025_sqa_scaled,1.3986915349960327,1.1358824968338013,1.3159723281860352
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000373.flac,urgent25_blind_test_fileid_000373,urgent25_blind_test_submission_716,2.375,urgent2025_sqa_scaled,1.8586819171905518,1.818779468536377,1.28183913230896
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000531.flac,urgent25_blind_test_fileid_000531,urgent25_blind_test_submission_716,1.0,urgent2025_sqa_scaled,1.074498176574707,0.5971880555152893,1.3443914651870728
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000618.flac,urgent25_blind_test_fileid_000618,urgent25_blind_test_submission_716,2.25,urgent2025_sqa_scaled,1.8283969163894653,1.0964937210083008,1.2909369468688965
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_scaled\audio\urgent25_blind_test_fileid_000668.flac,urgent25_blind_test_fileid_000668,urgent25_blind_test_submission_716,3.25,urgent2025_sqa_scaled,2.7103066444396973,2.8531038761138916,3.0880701541900635
